dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,1,1,64,1,baseline_transform,0,0,100,8.97965729237,256,0.0285088830971,128,2909,true,1,0.00897965729237
fp16,1,1,1,64,1,control_optimized_transform,0,1,100,9.36365664005,256,0.0273397466226,128,2909,true,1,0.00936365664005
fp16,1,1,1,64,1,optimized_transform,0,2,100,9.20000016689,256,0.0278260864517,128,2909,true,1,0.00920000016689
fp16,1,1,1,64,1,control_shuffle32_transform,0,3,100,7.8560000658,256,0.0325865577719,128,2909,true,1,0.0078560000658
fp16,1,1,1,64,1,shuffle32_transform,0,4,100,7.83794283867,256,0.0326616314088,128,2909,true,1,0.00783794283867
fp16,1,1,1,64,1,baseline_split,0,5,100,69.8665142059,420,0.0060114634997,128,2909,true,1,0.0698665142059
fp16,1,1,1,64,1,control_optimized_split,0,6,100,63.9938306808,420,0.00656313265719,128,2909,true,1,0.0639938306808
fp16,1,1,1,64,1,optimized_split,0,7,100,33.6784005165,420,0.0124709010392,128,2909,true,1,0.0336784005165
fp16,1,1,1,64,1,control_shuffle32_split,0,8,100,94.518404007,420,0.00444357905122,128,2909,true,1,0.094518404007
fp16,1,1,1,64,1,shuffle32_split,0,9,100,34.7908568382,420,0.0120721372846,128,2909,true,1,0.0347908568382
fp16,1,1,1,64,1,baseline_fused,0,10,100,65.4260587692,164,0.00250664648131,128,2909,true,1,0.0654260587692
fp16,1,1,1,64,1,control_optimized_fused,0,11,100,58.6470890045,164,0.00279638772842,128,2909,true,1,0.0586470890045
fp16,1,1,1,64,1,optimized_fused,0,12,100,28.5202288628,164,0.00575030448701,128,2909,true,1,0.0285202288628
fp16,1,1,1,64,1,control_shuffle32_fused,0,13,100,89.2297172546,164,0.00183795270282,128,2909,true,1,0.0892297172546
fp16,1,1,1,64,1,shuffle32_fused,0,14,100,29.703772068,164,0.00552118430024,128,2909,true,1,0.029703772068
fp16,1,1,1,64,1,control_optimized_transform,1,0,100,9.30902838707,256,0.0275001846976,128,2909,true,1,0.00930902838707
fp16,1,1,1,64,1,optimized_transform,1,1,100,9.27062869072,256,0.0276140926943,128,2909,true,1,0.00927062869072
fp16,1,1,1,64,1,control_shuffle32_transform,1,2,100,7.9439997673,256,0.0322255799973,128,2909,true,1,0.0079439997673
fp16,1,1,1,64,1,shuffle32_transform,1,3,100,7.93439984322,256,0.0322645701072,128,2909,true,1,0.00793439984322
fp16,1,1,1,64,1,baseline_split,1,4,100,69.8861694336,420,0.00600977279774,128,2909,true,1,0.0698861694336
fp16,1,1,1,64,1,control_optimized_split,1,5,100,64.056687355,420,0.00655669247571,128,2909,true,1,0.064056687355
fp16,1,1,1,64,1,optimized_split,1,6,100,33.642513752,420,0.0124842038587,128,2909,true,1,0.033642513752
fp16,1,1,1,64,1,control_shuffle32_split,1,7,100,93.8781738281,420,0.00447388336259,128,2909,true,1,0.0938781738281
fp16,1,1,1,64,1,shuffle32_split,1,8,100,35.2859425545,420,0.0119027570073,128,2909,true,1,0.0352859425545
fp16,1,1,1,64,1,baseline_fused,1,9,100,65.4400014877,164,0.00250611241246,128,2909,true,1,0.0654400014877
fp16,1,1,1,64,1,control_optimized_fused,1,10,100,58.639087677,164,0.00279676929667,128,2909,true,1,0.058639087677
fp16,1,1,1,64,1,optimized_fused,1,11,100,28.5152006149,164,0.00575131847097,128,2909,true,1,0.0285152006149
fp16,1,1,1,64,1,control_shuffle32_fused,1,12,100,89.2290306091,164,0.00183796684644,128,2909,true,1,0.0892290306091
fp16,1,1,1,64,1,shuffle32_fused,1,13,100,29.694173336,164,0.00552296903989,128,2909,true,1,0.029694173336
fp16,1,1,1,64,1,baseline_transform,1,14,100,8.8948571682,256,0.0287806757499,128,2909,true,1,0.0088948571682
fp16,1,1,1,64,1,optimized_transform,2,0,100,9.33371424675,256,0.0274274520552,128,2909,true,1,0.00933371424675
fp16,1,1,1,64,1,control_shuffle32_transform,2,1,100,7.90582835674,256,0.0323811735404,128,2909,true,1,0.00790582835674
fp16,1,1,1,64,1,shuffle32_transform,2,2,100,7.86285758018,256,0.032558137724,128,2909,true,1,0.00786285758018
fp16,1,1,1,64,1,baseline_split,2,3,100,69.8756551743,420,0.00601067709423,128,2909,true,1,0.0698756551743
fp16,1,1,1,64,1,control_optimized_split,2,4,100,64.1417121887,420,0.00654800106932,128,2909,true,1,0.0641417121887
fp16,1,1,1,64,1,optimized_split,2,5,100,33.6763429642,420,0.0124716629845,128,2909,true,1,0.0336763429642
fp16,1,1,1,64,1,control_shuffle32_split,2,6,100,93.8806915283,420,0.00447376338161,128,2909,true,1,0.0938806915283
