dtype,M,N,method,round,category,block_dim,off_median_ms,on_median_ms,off_over_on_ratio,latency_reduction_pct,improvement_ge5pct,regression_ge5pct
fp16,1,16,scalar_transform,1,control,32,0.00709600001574,0.00726400017738,0.9768722250085909,-2.3675332760336807,False,False
fp16,1,16,vector_transform,1,vector_path,32,0.00768000036478,0.00742399990559,1.0344828209113042,3.3333391540448565,False,False
fp16,1,16,scalar_split,1,control,32,0.01266400069,0.0125520005822,1.0089228889902082,0.8843975181432108,False,False
fp16,1,16,vector_split,1,vector_path,32,0.0135040000081,0.0128999993205,1.0468217611949913,4.4727539043076625,False,False
fp16,1,16,scalar_fused,1,control,32,0.00713599994779,0.00742800012231,0.9606892609434701,-4.0919307266871865,False,False
fp16,1,16,vector_fused,1,vector_path,32,0.00777600035071,0.00768399983644,1.0119729979474628,1.1831341322097506,False,False
fp16,1,16,quant_only,1,control,32,0.00779199972749,0.00739599987864,1.0535424358231356,5.082133761541616,True,False
fp16,1,64,scalar_transform,1,control,32,0.0108079999685,0.0111720003188,0.9674185159404741,-3.367878898601799,False,False
fp16,1,64,vector_transform,1,vector_path,32,0.0106720000505,0.0107639998198,0.9914530127424593,-0.8620667997063091,False,False
fp16,1,64,scalar_split,1,control,32,0.0175359994173,0.0174919992685,1.002515444239655,0.2509132656368077,False,False
fp16,1,64,vector_split,1,vector_path,32,0.0168080002069,0.0173040002584,0.9713361047102839,-2.950975995921164,False,False
fp16,1,64,scalar_fused,1,control,32,0.0136240005493,0.0137319996953,0.9921352207692691,-0.7927124313390351,False,False
fp16,1,64,vector_fused,1,vector_path,32,0.0135920003057,0.0124399997294,1.0926045499484558,8.475577916349012,True,False
fp16,1,64,quant_only,1,control,32,0.00850400030613,0.00855600014329,0.9939224127759299,-0.6114750151469083,False,False
fp16,1,128,scalar_transform,1,control,32,0.0187480002642,0.018219999969,1.028979160049306,2.816301940256725,False,False
