dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,block_dim,warmup,timer,vector_scale_enabled,kernel_ms
fp16,1,1,1,16,1,scalar_transform,0,0,5,7.76799991727,64,0.00823892902698,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00776799991727
fp16,1,1,1,16,1,vector_transform,0,1,5,8.19199979305,64,0.00781250019736,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00819199979305
fp16,1,1,1,16,1,scalar_split,0,2,5,13.0600005388,108,0.00826952492681,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0130600005388
fp16,1,1,1,16,1,vector_split,0,3,5,14.2639994621,108,0.00757150897872,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0142639994621
fp16,1,1,1,16,1,scalar_fused,0,4,5,7.69999995828,44,0.00571428574525,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00769999995828
fp16,1,1,1,16,1,vector_fused,0,5,5,7.93199986219,44,0.00554715087802,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00793199986219
fp16,1,1,1,16,1,quant_only,0,6,5,7.29999989271,44,0.00602739734886,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00729999989271
fp16,1,1,1,16,1,vector_transform,1,0,5,7.54799991846,64,0.00847906739419,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00754799991846
fp16,1,1,1,16,1,scalar_split,1,1,5,12.7800002694,108,0.0084507040472,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0127800002694
fp16,1,1,1,16,1,vector_split,1,2,5,13.2479995489,108,0.00815217419062,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0132479995489
fp16,1,1,1,16,1,scalar_fused,1,3,5,7.87200033665,44,0.00558943065528,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00787200033665
fp16,1,1,1,16,1,vector_fused,1,4,5,8.12399983406,44,0.00541605131693,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00812399983406
fp16,1,1,1,16,1,quant_only,1,5,5,7.61199966073,44,0.00578034707844,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00761199966073
fp16,1,1,1,16,1,scalar_transform,1,6,5,7.13199973106,64,0.00897364027108,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00713199973106
fp16,1,1,1,16,1,scalar_split,2,0,5,12.8879994154,108,0.00837988864827,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0128879994154
fp16,1,1,1,16,1,vector_split,2,1,5,13.2159993052,108,0.00817191326252,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0132159993052
fp16,1,1,1,16,1,scalar_fused,2,2,5,7.22400024533,44,0.00609080820954,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00722400024533
fp16,1,1,1,16,1,vector_fused,2,3,5,8.02000015974,44,0.00548628418,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00802000015974
fp16,1,1,1,16,1,quant_only,2,4,5,8.1200003624,44,0.00541871896998,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.0081200003624
fp16,1,1,1,16,1,scalar_transform,2,5,5,7.17599987984,64,0.00891861776361,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00717599987984
fp16,1,1,1,16,1,vector_transform,2,6,5,7.47999995947,64,0.00855614977898,32,2909,true,1,32,3,acl_timeline_event_ms,false,0.00747999995947
