gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,0,0,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,0,1,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,0,2,64,20,0.8622249588,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,0,3,64,20,0.8608000353,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,1,1,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,1,0,64,20,0.8720000274,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,1,3,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,1,2,64,20,0.8608000353,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,2,2,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,2,3,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,2,0,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,2,1,64,20,0.8600000292,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,3,3,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,3,2,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,3,1,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,3,0,64,20,0.8600000292,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,32,4,0,64,20,0.8711249568,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,64,4,1,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,128,4,2,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,1,256,4,3,64,20,0.8608000353,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,0,0,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,0,1,64,20,1.07760001,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,0,2,64,20,1.068800036,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,0,3,64,20,1.064800005,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,1,1,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,1,0,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,1,3,64,20,1.069600042,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,1,2,64,20,1.065600011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,2,2,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,2,3,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,2,0,64,20,1.070324983,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,2,1,64,20,1.065600011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,3,3,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,3,2,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,3,1,64,20,1.069600042,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,3,0,64,20,1.065600011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,32,4,0,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,64,4,1,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,128,4,2,64,20,1.070274971,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,1,256,4,3,64,20,1.065600011,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,0,0,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,0,1,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,0,2,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,0,3,64,20,0.858400017,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,1,1,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,1,0,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,1,3,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,1,2,64,20,0.8592000231,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,2,2,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,2,3,64,20,0.8710999973,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,2,0,64,20,0.8608000353,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,2,1,64,20,0.8591249585,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,3,3,64,20,0.8712000214,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,3,2,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,3,1,64,20,0.8623999543,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,3,0,64,20,0.8592000231,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,32,4,0,64,20,0.8710999973,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,64,4,1,64,20,0.8704000153,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,128,4,2,64,20,0.8616000414,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,transform,1,16,fp16,0.25,256,4,3,64,20,0.8592000231,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,32,0,0,64,20,1.078299992,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,64,0,1,64,20,1.078400016,PASS
"NVIDIA GeForce RTX 4090",89,12080,20260922,fused_int4,1,16,fp16,0.25,128,0,2,64,20,1.070324983,PASS
