category,measurement,dtype,shape,rows,dim,scale,scope,block_threads,mean_us,mean_ms,raw_csv_row_json
cli_default128,naive_global,fp16,"[1, 1, 1, 1]",1,1,1.0,kernel_only,,6.59797350566,0.00659797350566,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""1"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""151561.687713"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00659797350566"", ""mean_us"": ""6.59797350566"", ""method"": ""naive_global"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,warp,fp16,"[1, 1, 1, 1]",1,1,1.0,kernel_only,128,3.50208004316,0.00350208004316,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""1"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""285544.587124"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00350208004316"", ""mean_us"": ""3.50208004316"", ""method"": ""warp"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,split_int4,fp16,"[1, 1, 1, 1]",1,1,1.0,kernel_only,128,7.34208027522,0.00734208027522,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""1"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""136201.18039"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00734208027522"", ""mean_us"": ""7.34208027522"", ""method"": ""split_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,fused_int4,fp16,"[1, 1, 1, 1]",1,1,1.0,kernel_only,128,3.86389334997,0.00386389334997,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""1"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""258806.31514"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00386389334997"", ""mean_us"": ""3.86389334997"", ""method"": ""fused_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,cpu_fp32_fwht,fp16,"[1, 1, 1, 1]",1,1,1.0,cpu_compute,,0.0234,2.34e-05,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""1"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""42735042.735"", ""max_abs_error"": ""0"", ""mean_ms"": ""2.34e-05"", ""mean_us"": ""0.0234"", ""method"": ""cpu_fp32_fwht"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""cpu_compute"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,warp_h2d_d2h,fp16,"[1, 1, 1, 1]",1,1,1.0,host_e2e,128,21.78855,0.02178855,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""1"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""45895.6653839"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.02178855"", ""mean_us"": ""21.78855"", ""method"": ""warp_h2d_d2h"", ""repetitions"": ""20"", ""scale"": ""1"", ""scope"": ""host_e2e"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,naive_global,fp16,"[1, 1, 1, 16]",1,16,1.0,kernel_only,,15.6637859344,0.0156637859344,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""1021464.41907"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0156637859344"", ""mean_us"": ""15.6637859344"", ""method"": ""naive_global"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,warp,fp16,"[1, 1, 1, 16]",1,16,1.0,kernel_only,128,2.69312004248,0.00269312004248,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""5941064.54507"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00269312004248"", ""mean_us"": ""2.69312004248"", ""method"": ""warp"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
cli_default128,tensor_core,fp16,"[1, 1, 1, 16]",1,16,1.0,kernel_only,,3.1334400177,0.0031334400177,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""5106209.12148"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.0031334400177"", ""mean_us"": ""3.1334400177"", ""method"": ""tensor_core"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": """"}"
cli_default128,split_int4,fp16,"[1, 1, 1, 16]",1,16,1.0,kernel_only,128,5.73439995448,0.00573439995448,"{""batch"": ""1"", ""compute_capability"": ""80"", ""cuda_driver"": ""12040"", ""cuda_runtime"": ""12040"", ""dense_oracle_rows"": ""1"", ""dim"": ""16"", ""dtype"": ""fp16"", ""gpu"": ""NVIDIA A100-SXM4-40GB"", ""heads"": ""1"", ""input_elements_per_second"": ""2790178.59358"", ""max_abs_error"": ""0"", ""mean_ms"": ""0.00573439995448"", ""mean_us"": ""5.73439995448"", ""method"": ""split_int4"", ""repetitions"": ""300"", ""scale"": ""1"", ""scope"": ""kernel_only"", ""seq"": ""1"", ""timestamp_utc"": ""2026-09-05T18:55:22Z"", ""warp_block_threads"": ""128""}"
