dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
16,4096,hadamard,fp16,1,remove_keyword_auto,0.0057155535,0.0052091130000000005,8.860742883432016
16,4096,hadamard,fp16,1,auto_vs_original_positional,0.0051255275,0.0052091130000000005,-1.630768735510646
16,4096,hadamard,fp16,1,auto_positional_vs_legacy,0.0051752455,0.0052091130000000005,-0.654413399325704
16,65,hadamard_int4,bf16,1,remove_keyword_auto,0.007286198999999999,0.0067523515,7.3268311776826245
16,65,hadamard_int4,bf16,1,auto_vs_original_positional,0.0066448670000000005,0.0067523515,-1.6175568299561016
16,65,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.006655311,0.0067523515,-1.4580911395425389
16,65,hadamard_int4,fp16,1,remove_keyword_auto,0.0072824335,0.006792543,6.727016456792912
16,65,hadamard_int4,fp16,1,auto_vs_original_positional,0.006701423,0.006792543,-1.359711213573589
16,65,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.006674174,0.006792543,-1.7735378190619544
16,4096,hadamard,bf16,1,remove_keyword_auto,0.005705140500000001,0.005232474,8.284923044401804
16,4096,hadamard,bf16,1,auto_vs_original_positional,0.0051741885,0.005232474,-1.1264664980798367
16,4096,hadamard,bf16,1,auto_positional_vs_legacy,0.005145296000000001,0.005232474,-1.6943242915470558
8,4096,hadamard_int4,bf16,1,remove_keyword_auto,0.007257818,0.0067634035,6.8121644824932215
8,4096,hadamard_int4,bf16,1,auto_vs_original_positional,0.006630673,0.0067634035,-2.001765130025257
8,4096,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0066396715,0.0067634035,-1.863525928955978
1,1,hadamard_int4,fp16,1,remove_keyword_auto,0.007308304,0.006737666,7.808076949179998
1,1,hadamard_int4,fp16,1,auto_vs_original_positional,0.006679935499999999,0.006737666,-0.8642373867232767
1,1,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.006682654499999999,0.006737666,-0.8231983263537135
4,17,hadamard_int4,bf16,1,remove_keyword_auto,0.007282841,0.0067097780000000004,7.868673777170199
4,17,hadamard_int4,bf16,1,auto_vs_original_positional,0.0067313265,0.0067097780000000004,0.3201226385319389
4,17,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0067488805,0.0067097780000000004,0.5793923895970554
2,4096,hadamard,fp16,1,remove_keyword_auto,0.005692588,0.005234019,8.055545210719616
2,4096,hadamard,fp16,1,auto_vs_original_positional,0.0051736355,0.005234019,-1.1671386590725197
2,4096,hadamard,fp16,1,auto_positional_vs_legacy,0.0051506040000000005,0.005234019,-1.6195187981836723
8,4096,hadamard_int4,fp16,1,remove_keyword_auto,0.007330270999999999,0.0068746195,6.216025301110961
8,4096,hadamard_int4,fp16,1,auto_vs_original_positional,0.0067090325,0.0068746195,-2.468120403351759
8,4096,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0066767735,0.0068746195,-2.9631977181793
4,17,hadamard_int4,fp16,1,remove_keyword_auto,0.0072679485,0.0067495125,7.1331820801977415
4,17,hadamard_int4,fp16,1,auto_vs_original_positional,0.006696551,0.0067495125,-0.7908772739877445
4,17,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0066863090000000005,0.0067495125,-0.9452674113625159
2,4096,hadamard,bf16,1,remove_keyword_auto,0.00573168,0.0052500129999999996,8.403591966055334
2,4096,hadamard,bf16,1,auto_vs_original_positional,0.005161843,0.0052500129999999996,-1.7081108433557368
2,4096,hadamard,bf16,1,auto_positional_vs_legacy,0.005141334,0.0052500129999999996,-2.11382882341431
1,1,hadamard_int4,bf16,1,remove_keyword_auto,0.007216772,0.006695405,7.224379542543402
1,1,hadamard_int4,bf16,1,auto_vs_original_positional,0.0066507015,0.006695405,-0.6721621771778485
1,1,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.00661478,0.006695405,-1.2188613982626828
8,4096,hadamard_int4,bf16,2,remove_keyword_auto,0.0073334075,0.0067822055,7.516314891815301
8,4096,hadamard_int4,bf16,2,auto_vs_original_positional,0.0066650115,0.0067822055,-1.758346553490564
8,4096,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0066637575,0.0067822055,-1.7774956546663168
4,17,hadamard_int4,bf16,2,remove_keyword_auto,0.007507394000000001,0.0068312105000000005,9.006900397128481
4,17,hadamard_int4,bf16,2,auto_vs_original_positional,0.0068032809999999996,0.0068312105000000005,-0.4105298605187935
4,17,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0068383685,0.0068312105000000005,0.10467409002599126
1,1,hadamard_int4,fp16,2,remove_keyword_auto,0.007260883,0.0066619285,8.24905868886746
1,1,hadamard_int4,fp16,2,auto_vs_original_positional,0.0066260975,0.0066619285,-0.5407557012253372
1,1,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.0066578915,0.0066619285,-0.06063481208729016
16,65,hadamard_int4,fp16,2,remove_keyword_auto,0.007117623,0.0065835215,7.503930736427034
16,65,hadamard_int4,fp16,2,auto_vs_original_positional,0.006468318,0.0065835215,-1.781042614169559
16,65,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.006494385,0.0065835215,-1.3725164122545763
2,4096,hadamard,fp16,2,remove_keyword_auto,0.0057692185,0.005265569,8.729943232345938
2,4096,hadamard,fp16,2,auto_vs_original_positional,0.0051771065,0.005265569,-1.7087247480808143
2,4096,hadamard,fp16,2,auto_positional_vs_legacy,0.0051929129999999995,0.005265569,-1.3991376323847726
8,4096,hadamard_int4,fp16,2,remove_keyword_auto,0.0073078245,0.006786593,7.132512555549198
8,4096,hadamard_int4,fp16,2,auto_vs_original_positional,0.006635749,0.006786593,-2.2732023167241433
8,4096,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.0065967479999999995,0.006786593,-2.8778573927638273
16,65,hadamard_int4,bf16,2,remove_keyword_auto,0.007381215,0.0068850529999999995,6.721955667190304
16,65,hadamard_int4,bf16,2,auto_vs_original_positional,0.0068256065,0.0068850529999999995,-0.8709335939597329
16,65,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.006824217499999999,0.0068850529999999995,-0.8914648456031848
16,4096,hadamard,bf16,2,remove_keyword_auto,0.005775996,0.0052963085,8.304844740197193
16,4096,hadamard,bf16,2,auto_vs_original_positional,0.005227524999999999,0.0052963085,-1.3157947594703234
16,4096,hadamard,bf16,2,auto_positional_vs_legacy,0.005217823999999999,0.0052963085,-1.5041615048725365
4,17,hadamard_int4,fp16,2,remove_keyword_auto,0.00726947,0.0067208715,7.546609312645902
4,17,hadamard_int4,fp16,2,auto_vs_original_positional,0.0066572585,0.0067208715,-0.9555434868572465
4,17,hadamard_int4,fp16,2,auto_positional_vs_legacy,0.0066854475,0.0067208715,-0.5298672975892815
2,4096,hadamard,bf16,2,remove_keyword_auto,0.0057640955,0.005274348,8.496519531989023
2,4096,hadamard,bf16,2,auto_vs_original_positional,0.005201593,0.005274348,-1.3987061271421908
2,4096,hadamard,bf16,2,auto_positional_vs_legacy,0.005215363999999999,0.005274348,-1.1309661224029766
16,4096,hadamard,fp16,2,remove_keyword_auto,0.005812851,0.0053047944999999996,8.740229192181259
16,4096,hadamard,fp16,2,auto_vs_original_positional,0.005249118499999999,0.0053047944999999996,-1.060673330198214
16,4096,hadamard,fp16,2,auto_positional_vs_legacy,0.005224965,0.0053047944999999996,-1.5278475549596937
1,1,hadamard_int4,bf16,2,remove_keyword_auto,0.0074144445,0.0067386435000000005,9.114654509855724
1,1,hadamard_int4,bf16,2,auto_vs_original_positional,0.006704453000000001,0.0067386435000000005,-0.5099670323589267
1,1,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.0066974875,0.0067386435000000005,-0.6144990938766304
2,4096,hadamard,bf16,3,remove_keyword_auto,0.0058797745000000005,0.0053216925,9.491554480533237
2,4096,hadamard,bf16,3,auto_vs_original_positional,0.0052222925,0.0053216925,-1.9033786407023356
2,4096,hadamard,bf16,3,auto_positional_vs_legacy,0.0052329595,0.0053216925,-1.6956561578586493
4,17,hadamard_int4,fp16,3,remove_keyword_auto,0.0073278985,0.006760732,7.739824726011147
4,17,hadamard_int4,fp16,3,auto_vs_original_positional,0.006720515000000001,0.006760732,-0.5984214007408672
4,17,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.006691486,0.006760732,-1.0348374038292807
16,65,hadamard_int4,fp16,3,remove_keyword_auto,0.007275087,0.006677893,8.208754067133494
16,65,hadamard_int4,fp16,3,auto_vs_original_positional,0.006618792,0.006677893,-0.8929272894510065
16,65,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.0066718075,0.006677893,-0.09121216402001586
4,17,hadamard_int4,bf16,3,remove_keyword_auto,0.0074067939999999995,0.006770372500000001,8.592401786791948
4,17,hadamard_int4,bf16,3,auto_vs_original_positional,0.006828992,0.006770372500000001,0.8583916923610269
4,17,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.0067751585,0.006770372500000001,0.07064041379989394
16,4096,hadamard,fp16,3,remove_keyword_auto,0.0058678435,0.0053126175,9.462181464110275
16,4096,hadamard,fp16,3,auto_vs_original_positional,0.005280341,0.0053126175,-0.6112578714139838
16,4096,hadamard,fp16,3,auto_positional_vs_legacy,0.005280042499999999,0.0053126175,-0.6169457916295418
8,4096,hadamard_int4,fp16,3,remove_keyword_auto,0.0073490874999999995,0.0067952444999999995,7.53621453003519
8,4096,hadamard_int4,fp16,3,auto_vs_original_positional,0.006703475,0.0067952444999999995,-1.3689839971059659
8,4096,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.006670593,0.0067952444999999995,-1.8686719456576073
2,4096,hadamard,fp16,3,remove_keyword_auto,0.005746976,0.0052555125,8.551688749004693
2,4096,hadamard,fp16,3,auto_vs_original_positional,0.00516744,0.0052555125,-1.7043739259672286
2,4096,hadamard,fp16,3,auto_positional_vs_legacy,0.00518682,0.0052555125,-1.3243663747729784
1,1,hadamard_int4,bf16,3,remove_keyword_auto,0.007336395999999999,0.0067401125,8.12774419483353
