dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
16,4096,hadamard,fp16,1,auto_vs_original_positional,0.00516854,0.005252746500000001,-1.6292125048853245
16,4096,hadamard,fp16,1,auto_vs_original_keyword,0.00581898,0.005871425,-0.9012747938642374
16,4096,hadamard,fp16,1,remove_keyword_auto,0.005871425,0.005252746500000001,10.537109815760227
16,4096,hadamard,fp16,1,original_keyword_vs_legacy,0.0052128625,0.00581898,-11.62734486090895
16,4096,hadamard,fp16,1,auto_positional_vs_legacy,0.0052128625,0.005252746500000001,-0.7651074625505849
16,4096,hadamard,fp16,1,packed_vs_original_positional,0.00516854,0.0051923925,-0.46149396154426814
16,65,hadamard_int4,bf16,1,auto_vs_original_positional,0.006528592,0.006590727,-0.9517366072194555
16,65,hadamard_int4,bf16,1,auto_vs_original_keyword,0.007167332500000001,0.0071996535,-0.4509488013846097
16,65,hadamard_int4,bf16,1,remove_keyword_auto,0.0071996535,0.006590727,8.457719527752271
16,65,hadamard_int4,bf16,1,original_keyword_vs_legacy,0.0065444660000000005,0.007167332500000001,-9.517453372055119
16,65,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0065444660000000005,0.006590727,-0.7068720350904112
16,65,hadamard_int4,bf16,1,packed_vs_original_positional,0.006528592,0.0065634989999999995,-0.534678840399283
16,65,hadamard_int4,fp16,1,auto_vs_original_positional,0.006645941,0.006710908999999999,-0.9775590845600313
16,65,hadamard_int4,fp16,1,auto_vs_original_keyword,0.007237844,0.0074001695,-2.2427327806457287
16,65,hadamard_int4,fp16,1,remove_keyword_auto,0.0074001695,0.006710908999999999,9.314117737438321
16,65,hadamard_int4,fp16,1,original_keyword_vs_legacy,0.0066743689999999994,0.007237844,-8.442371106542069
16,65,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0066743689999999994,0.006710908999999999,-0.5474674834430093
16,65,hadamard_int4,fp16,1,packed_vs_original_positional,0.006645941,0.006746053,-1.5063630567891062
16,4096,hadamard,bf16,1,auto_vs_original_positional,0.005230363,0.005249578,-0.367374119157704
16,4096,hadamard,bf16,1,auto_vs_original_keyword,0.005781559,0.00588507,-1.7903648479588252
16,4096,hadamard,bf16,1,remove_keyword_auto,0.00588507,0.005249578,10.798376230019347
16,4096,hadamard,bf16,1,original_keyword_vs_legacy,0.0052250045,0.005781559,-10.651751591792902
16,4096,hadamard,bf16,1,auto_positional_vs_legacy,0.0052250045,0.005249578,-0.4703058150476336
16,4096,hadamard,bf16,1,packed_vs_original_positional,0.005230363,0.0052291565,0.023067232618456668
8,4096,hadamard_int4,bf16,1,auto_vs_original_positional,0.006598457,0.006609797,-0.17185836021966772
8,4096,hadamard_int4,bf16,1,auto_vs_original_keyword,0.0072476045,0.007267584,-0.27567039564588836
8,4096,hadamard_int4,bf16,1,remove_keyword_auto,0.007267584,0.006609797,9.050972097467325
8,4096,hadamard_int4,bf16,1,original_keyword_vs_legacy,0.0066135345,0.0072476045,-9.587460381434475
8,4096,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0066135345,0.006609797,0.05651289790655767
8,4096,hadamard_int4,bf16,1,packed_vs_original_positional,0.006598457,0.006636667000000001,-0.579074774602617
1,1,hadamard_int4,fp16,1,auto_vs_original_positional,0.006557764,0.0066408710000000004,-1.2673069662159309
1,1,hadamard_int4,fp16,1,auto_vs_original_keyword,0.007162863,0.007214020000000001,-0.7141976609073897
1,1,hadamard_int4,fp16,1,remove_keyword_auto,0.007214020000000001,0.0066408710000000004,7.944932229187063
1,1,hadamard_int4,fp16,1,original_keyword_vs_legacy,0.0066066855,0.007162863,-8.418404357222698
1,1,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0066066855,0.0066408710000000004,-0.5174379800582329
1,1,hadamard_int4,fp16,1,packed_vs_original_positional,0.006557764,0.006553226499999999,0.06919279193335903
4,17,hadamard_int4,bf16,1,auto_vs_original_positional,0.006628457,0.0066333525,-0.07385580082965859
4,17,hadamard_int4,bf16,1,auto_vs_original_keyword,0.0071426925,0.0071653045000000005,-0.31657529706061727
4,17,hadamard_int4,bf16,1,remove_keyword_auto,0.0071653045000000005,0.0066333525,7.423997123918468
4,17,hadamard_int4,bf16,1,original_keyword_vs_legacy,0.0066516665,0.0071426925,-7.381999683838614
4,17,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0066516665,0.0066333525,0.2753294982543175
4,17,hadamard_int4,bf16,1,packed_vs_original_positional,0.006628457,0.0066787875,-0.7593094441134651
2,4096,hadamard,fp16,1,auto_vs_original_positional,0.005207121,0.005252622500000001,-0.8738322001735854
2,4096,hadamard,fp16,1,auto_vs_original_keyword,0.00575159,0.005837701,-1.49716860902811
2,4096,hadamard,fp16,1,remove_keyword_auto,0.005837701,0.005252622500000001,10.022412932762382
2,4096,hadamard,fp16,1,original_keyword_vs_legacy,0.005228611,0.00575159,-10.002254900967
2,4096,hadamard,fp16,1,auto_positional_vs_legacy,0.005228611,0.005252622500000001,-0.45923286318299006
2,4096,hadamard,fp16,1,packed_vs_original_positional,0.005207121,0.0052103905,-0.06278901527350111
8,4096,hadamard_int4,fp16,1,auto_vs_original_positional,0.0065982,0.0066243555,-0.3964035646085273
8,4096,hadamard_int4,fp16,1,auto_vs_original_keyword,0.0071608545,0.007256868499999999,-1.3408176356606516
8,4096,hadamard_int4,fp16,1,remove_keyword_auto,0.007256868499999999,0.0066243555,8.716059826631827
8,4096,hadamard_int4,fp16,1,original_keyword_vs_legacy,0.0065937455,0.0071608545,-8.60071108294973
8,4096,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0065937455,0.0066243555,-0.46422780497061833
8,4096,hadamard_int4,fp16,1,packed_vs_original_positional,0.0065982,0.006603127,-0.07467188020975346
4,17,hadamard_int4,fp16,1,auto_vs_original_positional,0.006587971,0.006623004,-0.5317722254697177
4,17,hadamard_int4,fp16,1,auto_vs_original_keyword,0.0071601945,0.0071427555,0.24355483639444397
4,17,hadamard_int4,fp16,1,remove_keyword_auto,0.0071427555,0.006623004,7.2766245463672945
4,17,hadamard_int4,fp16,1,original_keyword_vs_legacy,0.0065702675,0.0071601945,-8.978736406090015
4,17,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0065702675,0.006623004,-0.8026537732291672
4,17,hadamard_int4,fp16,1,packed_vs_original_positional,0.006587971,0.0065921719999999994,-0.06376773668250735
2,4096,hadamard,bf16,1,auto_vs_original_positional,0.0052156525,0.0052524875,-0.7062395357052553
2,4096,hadamard,bf16,1,auto_vs_original_keyword,0.00574887,0.005817078999999999,-1.186476646714918
2,4096,hadamard,bf16,1,remove_keyword_auto,0.005817078999999999,0.0052524875,9.705756101988639
2,4096,hadamard,bf16,1,original_keyword_vs_legacy,0.005233498499999999,0.00574887,-9.847552263557557
