dim,rows,mode,dtype,round,method,median_ms
16,4096,hadamard,fp16,1,original_pos3,0.0052128625
16,4096,hadamard,fp16,1,original_pos_full,0.00516854
16,4096,hadamard,fp16,1,auto_pos_full,0.005252746500000001
16,4096,hadamard,fp16,1,packed_pos_full,0.0051923925
16,4096,hadamard,fp16,1,original_kwrow,0.00581898
16,4096,hadamard,fp16,1,auto_kwrow,0.005871425
16,4096,hadamard,fp16,1,packed_kwrow,0.005790694000000001
16,65,hadamard_int4,bf16,1,original_pos3,0.0065444660000000005
16,65,hadamard_int4,bf16,1,original_pos_full,0.006528592
16,65,hadamard_int4,bf16,1,auto_pos_full,0.006590727
16,65,hadamard_int4,bf16,1,packed_pos_full,0.0065634989999999995
16,65,hadamard_int4,bf16,1,original_kwrow,0.007167332500000001
16,65,hadamard_int4,bf16,1,auto_kwrow,0.0071996535
16,65,hadamard_int4,bf16,1,packed_kwrow,0.007170077
16,65,hadamard_int4,fp16,1,original_pos3,0.0066743689999999994
16,65,hadamard_int4,fp16,1,original_pos_full,0.006645941
16,65,hadamard_int4,fp16,1,auto_pos_full,0.006710908999999999
16,65,hadamard_int4,fp16,1,packed_pos_full,0.006746053
16,65,hadamard_int4,fp16,1,original_kwrow,0.007237844
16,65,hadamard_int4,fp16,1,auto_kwrow,0.0074001695
16,65,hadamard_int4,fp16,1,packed_kwrow,0.0073309865
16,4096,hadamard,bf16,1,original_pos3,0.0052250045
16,4096,hadamard,bf16,1,original_pos_full,0.005230363
16,4096,hadamard,bf16,1,auto_pos_full,0.005249578
16,4096,hadamard,bf16,1,packed_pos_full,0.0052291565
16,4096,hadamard,bf16,1,original_kwrow,0.005781559
16,4096,hadamard,bf16,1,auto_kwrow,0.00588507
16,4096,hadamard,bf16,1,packed_kwrow,0.005798938
8,4096,hadamard_int4,bf16,1,original_pos3,0.0066135345
8,4096,hadamard_int4,bf16,1,original_pos_full,0.006598457
8,4096,hadamard_int4,bf16,1,auto_pos_full,0.006609797
8,4096,hadamard_int4,bf16,1,packed_pos_full,0.006636667000000001
8,4096,hadamard_int4,bf16,1,original_kwrow,0.0072476045
8,4096,hadamard_int4,bf16,1,auto_kwrow,0.007267584
8,4096,hadamard_int4,bf16,1,packed_kwrow,0.0072328115
1,1,hadamard_int4,fp16,1,original_pos3,0.0066066855
1,1,hadamard_int4,fp16,1,original_pos_full,0.006557764
1,1,hadamard_int4,fp16,1,auto_pos_full,0.0066408710000000004
1,1,hadamard_int4,fp16,1,packed_pos_full,0.006553226499999999
1,1,hadamard_int4,fp16,1,original_kwrow,0.007162863
1,1,hadamard_int4,fp16,1,auto_kwrow,0.007214020000000001
1,1,hadamard_int4,fp16,1,packed_kwrow,0.007207104000000001
4,17,hadamard_int4,bf16,1,original_pos3,0.0066516665
4,17,hadamard_int4,bf16,1,original_pos_full,0.006628457
4,17,hadamard_int4,bf16,1,auto_pos_full,0.0066333525
4,17,hadamard_int4,bf16,1,packed_pos_full,0.0066787875
4,17,hadamard_int4,bf16,1,original_kwrow,0.0071426925
4,17,hadamard_int4,bf16,1,auto_kwrow,0.0071653045000000005
4,17,hadamard_int4,bf16,1,packed_kwrow,0.007189975
2,4096,hadamard,fp16,1,original_pos3,0.005228611
2,4096,hadamard,fp16,1,original_pos_full,0.005207121
2,4096,hadamard,fp16,1,auto_pos_full,0.005252622500000001
2,4096,hadamard,fp16,1,packed_pos_full,0.0052103905
2,4096,hadamard,fp16,1,original_kwrow,0.00575159
2,4096,hadamard,fp16,1,auto_kwrow,0.005837701
2,4096,hadamard,fp16,1,packed_kwrow,0.00579575
8,4096,hadamard_int4,fp16,1,original_pos3,0.0065937455
8,4096,hadamard_int4,fp16,1,original_pos_full,0.0065982
8,4096,hadamard_int4,fp16,1,auto_pos_full,0.0066243555
8,4096,hadamard_int4,fp16,1,packed_pos_full,0.006603127
8,4096,hadamard_int4,fp16,1,original_kwrow,0.0071608545
8,4096,hadamard_int4,fp16,1,auto_kwrow,0.007256868499999999
8,4096,hadamard_int4,fp16,1,packed_kwrow,0.0072433244999999995
4,17,hadamard_int4,fp16,1,original_pos3,0.0065702675
4,17,hadamard_int4,fp16,1,original_pos_full,0.006587971
4,17,hadamard_int4,fp16,1,auto_pos_full,0.006623004
4,17,hadamard_int4,fp16,1,packed_pos_full,0.0065921719999999994
4,17,hadamard_int4,fp16,1,original_kwrow,0.0071601945
4,17,hadamard_int4,fp16,1,auto_kwrow,0.0071427555
4,17,hadamard_int4,fp16,1,packed_kwrow,0.007140149
2,4096,hadamard,bf16,1,original_pos3,0.005233498499999999
2,4096,hadamard,bf16,1,original_pos_full,0.0052156525
2,4096,hadamard,bf16,1,auto_pos_full,0.0052524875
2,4096,hadamard,bf16,1,packed_pos_full,0.005257332500000001
2,4096,hadamard,bf16,1,original_kwrow,0.00574887
2,4096,hadamard,bf16,1,auto_kwrow,0.005817078999999999
2,4096,hadamard,bf16,1,packed_kwrow,0.005806403
1,1,hadamard_int4,bf16,1,original_pos3,0.0065643195
1,1,hadamard_int4,bf16,1,original_pos_full,0.0065868965
1,1,hadamard_int4,bf16,1,auto_pos_full,0.006543529
1,1,hadamard_int4,bf16,1,packed_pos_full,0.0065964215000000005
1,1,hadamard_int4,bf16,1,original_kwrow,0.007074598
1,1,hadamard_int4,bf16,1,auto_kwrow,0.007153947
1,1,hadamard_int4,bf16,1,packed_kwrow,0.0071388779999999995
8,4096,hadamard_int4,bf16,2,original_pos3,0.0065744645
8,4096,hadamard_int4,bf16,2,original_pos_full,0.0065645389999999994
8,4096,hadamard_int4,bf16,2,auto_pos_full,0.006570125
8,4096,hadamard_int4,bf16,2,packed_pos_full,0.0065462435
8,4096,hadamard_int4,bf16,2,original_kwrow,0.007083376000000001
8,4096,hadamard_int4,bf16,2,auto_kwrow,0.007129111
8,4096,hadamard_int4,bf16,2,packed_kwrow,0.0071345675
4,17,hadamard_int4,bf16,2,original_pos3,0.0065653694999999995
4,17,hadamard_int4,bf16,2,original_pos_full,0.0066121015
4,17,hadamard_int4,bf16,2,auto_pos_full,0.0066578525
4,17,hadamard_int4,bf16,2,packed_pos_full,0.0065814345
4,17,hadamard_int4,bf16,2,original_kwrow,0.0070852465000000005
4,17,hadamard_int4,bf16,2,auto_kwrow,0.007132478
4,17,hadamard_int4,bf16,2,packed_kwrow,0.007091282500000001
1,1,hadamard_int4,fp16,2,original_pos3,0.0067144655
1,1,hadamard_int4,fp16,2,original_pos_full,0.0067078115
1,1,hadamard_int4,fp16,2,auto_pos_full,0.0067211729999999996
1,1,hadamard_int4,fp16,2,packed_pos_full,0.0066902065
1,1,hadamard_int4,fp16,2,original_kwrow,0.0071840975
1,1,hadamard_int4,fp16,2,auto_kwrow,0.007220025
1,1,hadamard_int4,fp16,2,packed_kwrow,0.0071720905000000005
16,65,hadamard_int4,fp16,2,original_pos3,0.0064497085
