Generating SQLite file /data/infinitensor-2026/profile-dispatch-20260908/final-calling-20260908/checks/active.sqlite from /data/infinitensor-2026/profile-dispatch-20260908/final-calling-20260908/checks/active.nsys-rep
Processing [/data/infinitensor-2026/profile-dispatch-20260908/final-calling-20260908/checks/active.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.4,12736,12,1061.3,1056.0,1024,1280,70.7,"hadamard::butterfly_stage(const float *, float *, unsigned long, int)"
26.5,12320,11,1120.0,1120.0,1088,1184,24.8,"void hadamard::packed_rows_kernel<__half, (int)8, (bool)1, (bool)0>(const T1 *, T1 *, unsigned char *, float *, unsigned long, float)"
16.1,7456,4,1864.0,1856.0,1824,1920,48.0,"void hadamard::warp_kernel<__half, (int)8, (bool)0, (bool)1>(const T1 *, T1 *, unsigned char *, float *, unsigned long, float)"
11.5,5344,4,1336.0,1328.0,1312,1376,30.6,"void hadamard::packed_rows_kernel<__half, (int)8, (bool)1, (bool)1>(const T1 *, T1 *, unsigned char *, float *, unsigned long, float)"
9.5,4416,4,1104.0,1040.0,1024,1312,139.5,"void hadamard::to_float_kernel<__half>(const T1 *, float *, unsigned long)"
9.0,4160,4,1040.0,1040.0,1024,1056,18.5,"void hadamard::from_float_kernel<__half>(const float *, T1 *, unsigned long, float)"

Processing [/data/infinitensor-2026/profile-dispatch-20260908/final-calling-20260908/checks/active.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.2,2185830,39,56046.9,3418.0,3020,1998973,319326.3,cudaLaunchKernel
13.2,429379,2,214689.5,214689.5,177440,251939,52678.7,cudaGetDeviceProperties_v2_v12000
8.8,284578,13,21890.6,14946.0,11099,44103,11470.9,cudaMemcpy
4.4,144586,6,24097.7,1795.0,1481,130700,52273.1,cudaFree
4.1,131869,6,21978.2,2261.5,1637,121141,48582.5,cudaMalloc
1.0,33100,8,4137.5,3629.0,2965,8761,1897.3,cudaEventRecord
0.5,16896,5,3379.2,3694.0,1789,4326,1021.2,cudaDeviceSynchronize
0.4,11915,8,1489.4,449.0,338,8862,2979.8,cudaEventCreate
0.3,9606,4,2401.5,2359.5,2193,2694,210.4,cudaEventSynchronize
0.1,2975,8,371.9,321.0,247,795,177.3,cudaEventDestroy
0.0,1161,1,1161.0,1161.0,1161,1161,0.0,cuModuleGetLoadingMode

