dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
16,4096,hadamard,fp16,1,remove_keyword_auto,0.0070301955,0.006355944499999999,9.590785917688926
16,4096,hadamard,fp16,1,auto_vs_original_positional,0.006232576,0.006355944499999999,-1.9794142903351464
16,4096,hadamard,fp16,1,auto_positional_vs_legacy,0.0062794845,0.006355944499999999,-1.2176158727678965
16,65,hadamard_int4,bf16,1,remove_keyword_auto,0.008554218,0.0077499385,9.402139389012532
16,65,hadamard_int4,bf16,1,auto_vs_original_positional,0.007728824,0.0077499385,-0.2731916265657164
16,65,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0077328665,0.0077499385,-0.22077194789280608
16,65,hadamard_int4,fp16,1,remove_keyword_auto,0.008493458,0.007795158,8.221621864734018
16,65,hadamard_int4,fp16,1,auto_vs_original_positional,0.0077863885,0.007795158,-0.1126260268158985
16,65,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0077678875,0.007795158,-0.3510671337606297
16,4096,hadamard,bf16,1,remove_keyword_auto,0.006590639,0.005970321,9.412107080967413
16,4096,hadamard,bf16,1,auto_vs_original_positional,0.0059403125,0.005970321,-0.5051670261454921
16,4096,hadamard,bf16,1,auto_positional_vs_legacy,0.0058915665,0.005970321,-1.3367327687805908
8,4096,hadamard_int4,bf16,1,remove_keyword_auto,0.008048458,0.007316393,9.095717465382801
8,4096,hadamard_int4,bf16,1,auto_vs_original_positional,0.0072684155,0.007316393,-0.6600819669706492
8,4096,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0072596295,0.007316393,-0.7819062942537203
1,1,hadamard_int4,fp16,1,remove_keyword_auto,0.008132084,0.0073978005,9.029462804368471
1,1,hadamard_int4,fp16,1,auto_vs_original_positional,0.007327628,0.0073978005,-0.9576427733503978
1,1,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0073452285,0.0073978005,-0.715729946318211
4,17,hadamard_int4,bf16,1,remove_keyword_auto,0.0080370035,0.007281220000000001,9.403797074369823
4,17,hadamard_int4,bf16,1,auto_vs_original_positional,0.007278774500000001,0.007281220000000001,-0.03359768873181235
4,17,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0072565074999999995,0.007281220000000001,-0.34055639024697104
2,4096,hadamard,fp16,1,remove_keyword_auto,0.0065932175,0.005921379,10.189842819533856
2,4096,hadamard,fp16,1,auto_vs_original_positional,0.005885894500000001,0.005921379,-0.6028735309475897
2,4096,hadamard,fp16,1,auto_positional_vs_legacy,0.0058914425,0.005921379,-0.508135316605407
8,4096,hadamard_int4,fp16,1,remove_keyword_auto,0.008194506499999999,0.007449423,9.092475550541067
8,4096,hadamard_int4,fp16,1,auto_vs_original_positional,0.0073970365,0.007449423,-0.7082092943572871
8,4096,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.00739262,0.007449423,-0.7683744058263553
4,17,hadamard_int4,fp16,1,remove_keyword_auto,0.0084017705,0.0073677740000000005,12.306888173153506
4,17,hadamard_int4,fp16,1,auto_vs_original_positional,0.00734612,0.0073677740000000005,-0.2947678502393192
4,17,hadamard_int4,fp16,1,auto_positional_vs_legacy,0.0073425339999999995,0.0073677740000000005,-0.3437505362590132
2,4096,hadamard,bf16,1,remove_keyword_auto,0.006573934,0.005922808,9.90466287005619
2,4096,hadamard,bf16,1,auto_vs_original_positional,0.0059026395,0.005922808,-0.34168612194596104
2,4096,hadamard,bf16,1,auto_positional_vs_legacy,0.005892039,0.005922808,-0.5222131082295967
1,1,hadamard_int4,bf16,1,remove_keyword_auto,0.0080089505,0.0072675924999999995,9.256618579425613
1,1,hadamard_int4,bf16,1,auto_vs_original_positional,0.007205345,0.0072675924999999995,-0.8639072799428771
1,1,hadamard_int4,bf16,1,auto_positional_vs_legacy,0.0071899089999999995,0.0072675924999999995,-1.0804517831866756
8,4096,hadamard_int4,bf16,2,remove_keyword_auto,0.007951715,0.007258146,8.722256771023606
8,4096,hadamard_int4,bf16,2,auto_vs_original_positional,0.0072072985,0.007258146,-0.7055001260180882
8,4096,hadamard_int4,bf16,2,auto_positional_vs_legacy,0.007195466,0.007258146,-0.8711041091709726
