dim,rows,mode,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
4,4095,hadamard,bf16,1.0,False,1,0.0016648000106215476,0.0014279999770224095,0.0016648000106215476,0.0016648000106215476,0.0
8,65,hadamard_int4,fp16,1.0,True,1,0.001154400035738945,0.0011702500283718108,0.0010607999749481678,0.001154400035738945,8.108113123096249
8,65,hadamard_int4,bf16,1.0,True,1,0.0011384000070393085,0.001154400035738945,0.0010623999871313572,0.0011384000070393085,6.676038250000394
32,17,hadamard,bf16,1.0,False,1,0.0009072000160813331,0.0009096000343561172,0.0009088000282645225,0.0009072000160813331,-0.1763681828512942
2,2,hadamard_int4,bf16,1.0,True,1,0.0011087999679148196,0.0011048000305891037,0.0010359999723732471,0.0011048000305891037,6.2273765668861225
1,4096,hadamard,fp16,1.0,True,1,0.0015151999890804292,0.0012862999923527242,0.000875999964773655,0.0012862999923527242,31.897693385553428
4,16384,hadamard_int4,bf16,1.0,True,1,0.003270399942994118,0.003152799978852272,0.0013232000172138214,0.003152799978852272,58.03095578250061
4,4097,hadamard,bf16,1.0,True,1,0.0015239999629557133,0.0013078750111162663,0.0009639499709010124,0.0013078750111162663,26.296476138168213
1,1,hadamard_int4,fp16,1.0,True,1,0.0010735750198364257,0.0010703999549150466,0.0010088000446558,0.0010703999549150466,5.754849855551026
1,4096,hadamard,bf16,1.0,True,1,0.001518400013446808,0.0012951999902725219,0.0008720000274479389,0.0012951999902725219,32.67448780134239
4,255,hadamard_int4,bf16,1.0,False,1,0.0011744000017642974,0.0011487999930977822,0.001175200007855892,0.0011744000017642974,-0.06812040960428867
2,4097,hadamard,bf16,1.0,True,1,0.0015344000421464443,0.001309600006788969,0.000914399977773428,0.001309600006788969,30.177155388425724
16,16384,hadamard,fp16,1.0,True,1,0.002991175092756748,0.002232000045478344,0.0016279999166727067,0.002232000045478344,27.060937119120577
1,2,hadamard_int4,fp16,1.0,True,1,0.001077600009739399,0.0010743999853730201,0.0010119999758899211,0.0010743999853730201,5.807893739074688
8,4097,hadamard,fp16,1.0,True,1,0.0015399999916553496,0.0013376000337302686,0.0010375999845564365,0.0013376000337302686,22.428232775772194
8,64,hadamard_int4,bf16,1.0,True,1,0.0011391250416636467,0.0011552000418305398,0.0010071749798953532,0.0011391250416636467,11.5834572098938
4,255,hadamard_int4,fp16,1.0,False,1,0.001173549983650446,0.0011455999687314034,0.0011744000017642974,0.001173549983650446,-0.07243135151411284
16,4096,hadamard_int4,fp16,1.0,False,1,0.001809599995613098,0.0016551250591874123,0.0018118750303983688,0.001809599995613098,-0.12572031337234613
4,257,hadamard_int4,fp16,1.0,True,1,0.0012055750004947186,0.0011536000296473504,0.0010583999566733838,0.0011536000296473504,8.252433298139628
64,65,hadamard_int4,fp16,1.0,False,1,0.0011048000305891037,0.001131999958306551,0.00110470000654459,0.0011048000305891037,0.009053588137608592
256,17,hadamard,fp16,1.0,False,1,0.0010343999601900578,0.0011912000365555287,0.001034375000745058,0.0010343999601900578,0.0024129394779803803
1,4095,hadamard,fp16,1.0,False,1,0.0015104000456631183,0.0012863250449299812,0.0015104000456631183,0.0015104000456631183,0.0
32,17,hadamard,fp16,1.0,False,1,0.0009119999594986439,0.0009143750183284282,0.0009119999594986439,0.0009119999594986439,0.0
8,4095,hadamard,fp16,1.0,False,1,0.0015367750078439713,0.0013327999971807004,0.0015375999733805656,0.0015367750078439713,-0.05368160806777933
16,4097,hadamard,fp16,1.0,True,1,0.0015576000325381756,0.0013344000093638898,0.001158399973064661,0.0013344000093638898,13.189451068958558
2,16384,hadamard,fp16,1.0,True,1,0.002959199994802475,0.0021384000778198243,0.001033599954098463,0.0021384000778198243,51.664800014772936
1,4097,hadamard,fp16,1.0,True,1,0.00150950001552701,0.0012848000042140484,0.0008840000256896019,0.0012848000042140484,31.195515038126743
16,4096,hadamard,bf16,1.0,True,1,0.0015575249679386615,0.0013384000398218633,0.0011392000131309032,0.0013384000398218633,14.883444468327479
