run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,original,1,2.008064031600952,1280,1.5688000246882439,0.0015688000246882438
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,original,2,2.0039680004119873,1280,1.565600000321865,0.001565600000321865
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,original,3,2.0069119930267334,1280,1.5678999945521355,0.0015678999945521355
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,original,4,2.002943992614746,1280,1.5647999942302704,0.0015647999942302703
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,original,5,2.0039680004119873,1280,1.565600000321865,0.001565600000321865
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,1.8800640106201172,1280,1.4688000082969666,0.0014688000082969666
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.8810880184173584,1280,1.4696000143885612,0.0014696000143885612
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.879040002822876,1280,1.4680000022053719,0.0014680000022053719
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.8780159950256348,1280,1.4671999961137772,0.0014671999961137772
1,bf16,256,17,False,"[17, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.8800640106201172,1280,1.4688000082969666,0.0014688000082969666
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,original,1,1.4755840301513672,1280,1.1528000235557556,0.0011528000235557557
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,original,2,1.474560022354126,1280,1.152000017464161,0.001152000017464161
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,original,3,1.4725120067596436,1280,1.1504000052809715,0.0011504000052809716
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,original,4,1.4735360145568848,1280,1.1512000113725662,0.0011512000113725663
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,original,5,1.4735360145568848,1280,1.1512000113725662,0.0011512000113725663
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,contiguous256,1,1.486847996711731,1280,1.1615999974310398,0.0011615999974310398
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,contiguous256,2,1.4858239889144897,1280,1.1607999913394451,0.0011607999913394451
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,contiguous256,3,1.4858239889144897,1280,1.1607999913394451,0.0011607999913394451
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,contiguous256,4,1.4847999811172485,1280,1.1599999852478504,0.0011599999852478504
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,contiguous256,5,1.486847996711731,1280,1.1615999974310398,0.0011615999974310398
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,dao,1,1.369088053703308,1280,1.0696000419557095,0.0010696000419557095
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,dao,2,1.368064045906067,1280,1.0688000358641148,0.0010688000358641148
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,dao,3,1.3670400381088257,1280,1.06800002977252,0.0010680000297725201
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,dao,4,1.368064045906067,1280,1.0688000358641148,0.0010688000358641148
1,bf16,256,17,False,"[17, 256]",1.0,transform,cuda_graph,dao,5,1.3670400381088257,1280,1.06800002977252,0.0010680000297725201
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,original,1,1.5001599788665771,1280,1.1719999834895134,0.0011719999834895133
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,original,2,1.5032320022583008,1280,1.1744000017642975,0.0011744000017642974
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,original,3,1.5001599788665771,1280,1.1719999834895134,0.0011719999834895133
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,original,4,1.5011839866638184,1280,1.172799989581108,0.001172799989581108
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,original,5,1.499135971069336,1280,1.1711999773979187,0.0011711999773979186
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,contiguous256,1,1.521664023399353,1280,1.1888000182807446,0.0011888000182807446
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,contiguous256,2,1.5196160078048706,1280,1.1872000060975552,0.0011872000060975552
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,contiguous256,3,1.5184320211410522,1280,1.186275016516447,0.0011862750165164472
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,contiguous256,4,1.5185920000076294,1280,1.1864000000059605,0.0011864000000059605
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,contiguous256,5,1.5185920000076294,1280,1.1864000000059605,0.0011864000000059605
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,dao,1,1.4376959800720215,1280,1.1231999844312668,0.0011231999844312668
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,dao,2,1.435647964477539,1280,1.1215999722480774,0.0011215999722480774
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,dao,3,1.4366719722747803,1280,1.122399978339672,0.0011223999783396721
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,dao,4,1.435647964477539,1280,1.1215999722480774,0.0011215999722480774
1,bf16,256,64,True,"[64, 256]",0.0625,transform,cuda_graph,dao,5,1.4366719722747803,1280,1.122399978339672,0.0011223999783396721
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,original,1,2.023360013961792,1280,1.58075001090765,0.00158075001090765
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,original,2,2.02239990234375,1280,1.5799999237060547,0.0015799999237060547
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,original,3,2.021375894546509,1280,1.57919991761446,0.00157919991761446
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,original,4,2.023423910140991,1280,1.5807999297976494,0.0015807999297976494
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,original,5,2.021375894546509,1280,1.57919991761446,0.00157919991761446
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.908735990524292,1280,1.4911999925971031,0.0014911999925971032
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.9056639671325684,1280,1.488799974322319,0.001488799974322319
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.9056639671325684,1280,1.488799974322319,0.001488799974322319
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.9077119827270508,1280,1.4903999865055084,0.0014903999865055085
1,bf16,256,64,True,"[64, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.9056639671325684,1280,1.488799974322319,0.001488799974322319
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,original,1,1.9363839626312256,1280,1.512799970805645,0.001512799970805645
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,original,2,1.9343359470367432,1280,1.5111999586224556,0.0015111999586224557
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,original,3,1.9343359470367432,1280,1.5111999586224556,0.0015111999586224557
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,original,4,1.9333120584487915,1280,1.5104000456631184,0.0015104000456631183
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,original,5,1.9353599548339844,1280,1.5119999647140503,0.0015119999647140504
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.8083839416503906,1280,1.4127999544143677,0.0014127999544143676
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.8114559650421143,1280,1.4151999726891518,0.0014151999726891517
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.8083200454711914,1280,1.4127500355243683,0.0014127500355243683
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.8083200454711914,1280,1.4127500355243683,0.0014127500355243683
1,bf16,256,1,True,"[1, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.8083839416503906,1280,1.4127999544143677,0.0014127999544143676
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,original,1,1.4028799533843994,1280,1.095999963581562,0.001095999963581562
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,original,2,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,original,3,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,original,4,1.4008320569992065,1280,1.0944000445306301,0.0010944000445306302
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,original,5,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,contiguous256,1,1.4202879667282104,1280,1.1095999740064144,0.0011095999740064143
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,contiguous256,2,1.4223359823226929,1280,1.1111999861896038,0.0011111999861896037
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,contiguous256,3,1.4213119745254517,1280,1.110399980098009,0.001110399980098009
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,contiguous256,4,1.4213119745254517,1280,1.110399980098009,0.001110399980098009
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,contiguous256,5,1.4213119745254517,1280,1.110399980098009,0.001110399980098009
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,1,1.3660160303115845,1280,1.0672000236809254,0.0010672000236809254
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,2,1.3629440069198608,1280,1.0648000054061413,0.0010648000054061413
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,3,1.3619199991226196,1280,1.0639999993145466,0.0010639999993145466
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,4,1.3618559837341309,1280,1.0639499872922897,0.0010639499872922898
1,bf16,256,1,True,"[1, 256]",0.0625,transform,cuda_graph,dao,5,1.3629440069198608,1280,1.0648000054061413,0.0010648000054061413
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,1,1.5452159643173218,1280,1.2071999721229076,0.0012071999721229077
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,2,1.5411200523376465,1280,1.2040000408887863,0.0012040000408887863
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,3,1.5421439409255981,1280,1.2047999538481236,0.0012047999538481236
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,4,1.5441919565200806,1280,1.206399966031313,0.001206399966031313
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,original,5,1.5420160293579102,1280,1.2047000229358673,0.0012047000229358674
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,1,1.5974400043487549,1280,1.2480000033974648,0.0012480000033974648
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,2,1.6005120277404785,1280,1.2504000216722488,0.0012504000216722489
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,3,1.5974080562591553,1280,1.247975043952465,0.001247975043952465
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,4,1.5973119735717773,1280,1.247899979352951,0.001247899979352951
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,contiguous256,5,1.5953919887542725,1280,1.2463999912142754,0.0012463999912142754
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,1,1.8708479404449463,1280,1.4615999534726143,0.0014615999534726143
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,2,1.8718080520629883,1280,1.4623500406742096,0.0014623500406742095
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,3,1.8708479404449463,1280,1.4615999534726143,0.0014615999534726143
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,4,1.8626559972763062,1280,1.4551999978721142,0.0014551999978721143
1,fp16,256,257,False,"[257, 256]",1.0,transform,cuda_graph,dao,5,1.8698240518569946,1280,1.460800040513277,0.0014608000405132771
