run,dtype,rows,scale,method,group,event_ms,per_call_us,per_call_ms
1,fp16,16385,1.0,original,0,24.837120056152344,19.40400004386902,0.019404000043869017
1,fp16,16385,1.0,original,1,22.572032928466797,17.634400725364685,0.017634400725364686
1,fp16,16385,1.0,original,2,20.883455276489258,16.315199434757233,0.016315199434757233
1,fp16,16385,1.0,original,3,20.603904724121094,16.096800565719604,0.016096800565719604
1,fp16,16385,1.0,original,4,20.66534423828125,16.144800186157227,0.016144800186157226
1,fp16,16385,1.0,contiguous256,0,23.141376495361328,18.079200387001038,0.01807920038700104
1,fp16,16385,1.0,contiguous256,1,23.140352249145508,18.078400194644928,0.018078400194644927
1,fp16,16385,1.0,contiguous256,2,19.403776168823242,15.159200131893158,0.015159200131893157
1,fp16,16385,1.0,contiguous256,3,19.24812889099121,15.037600696086884,0.015037600696086884
1,fp16,16385,1.0,contiguous256,4,19.513343811035156,15.244799852371216,0.015244799852371215
1,fp16,2,1.0,original,0,2.91430401802063,2.276800014078617,0.002276800014078617
1,fp16,2,1.0,original,1,2.909183979034424,2.2727999836206436,0.0022727999836206435
1,fp16,2,1.0,original,2,2.9122560024261475,2.2752000018954277,0.0022752000018954276
1,fp16,2,1.0,original,3,2.9081599712371826,2.271999977529049,0.002271999977529049
1,fp16,2,1.0,original,4,2.9122560024261475,2.2752000018954277,0.0022752000018954276
1,fp16,2,1.0,contiguous256,0,2.761728048324585,2.157600037753582,0.002157600037753582
1,fp16,2,1.0,contiguous256,1,2.7555840015411377,2.152800001204014,0.0021528000012040137
1,fp16,2,1.0,contiguous256,2,2.7596800327301025,2.1560000255703926,0.0021560000255703925
1,fp16,2,1.0,contiguous256,3,2.756608009338379,2.1536000072956085,0.0021536000072956084
1,fp16,2,1.0,contiguous256,4,2.7607040405273438,2.1568000316619873,0.0021568000316619872
1,fp16,255,0.0625,original,0,3.289088010787964,2.5696000084280968,0.0025696000084280968
1,fp16,255,0.0625,original,1,3.2870399951934814,2.5679999962449074,0.0025679999962449074
1,fp16,255,0.0625,original,2,3.2870399951934814,2.5679999962449074,0.0025679999962449074
1,fp16,255,0.0625,original,3,3.2860159873962402,2.5671999901533127,0.0025671999901533127
1,fp16,255,0.0625,original,4,3.2860159873962402,2.5671999901533127,0.0025671999901533127
1,fp16,255,0.0625,contiguous256,0,3.1150081157684326,2.433600090444088,0.002433600090444088
1,fp16,255,0.0625,contiguous256,1,3.1139841079711914,2.4328000843524933,0.0024328000843524935
1,fp16,255,0.0625,contiguous256,2,3.1139841079711914,2.4328000843524933,0.0024328000843524935
1,fp16,255,0.0625,contiguous256,3,3.1139841079711914,2.4328000843524933,0.0024328000843524935
1,fp16,255,0.0625,contiguous256,4,3.1150081157684326,2.433600090444088,0.002433600090444088
1,bf16,256,1.0,original,0,3.3259520530700684,2.598400041460991,0.0025984000414609907
1,bf16,256,1.0,original,1,3.323904037475586,2.5968000292778015,0.0025968000292778013
1,bf16,256,1.0,original,2,3.3259520530700684,2.598400041460991,0.0025984000414609907
1,bf16,256,1.0,original,3,3.3228800296783447,2.596000023186207,0.0025960000231862066
1,bf16,256,1.0,original,4,3.3259520530700684,2.598400041460991,0.0025984000414609907
1,bf16,256,1.0,contiguous256,0,3.146752119064331,2.4584000930190086,0.0024584000930190086
1,bf16,256,1.0,contiguous256,1,3.141632080078125,2.454400062561035,0.002454400062561035
1,bf16,256,1.0,contiguous256,2,3.142656087875366,2.45520006865263,0.00245520006865263
1,bf16,256,1.0,contiguous256,3,3.1447041034698486,2.4568000808358192,0.0024568000808358192
1,bf16,256,1.0,contiguous256,4,3.142656087875366,2.45520006865263,0.00245520006865263
1,bf16,63,0.0625,original,0,4.128767967224121,3.2255999743938446,0.0032255999743938447
1,bf16,63,0.0625,original,1,4.126719951629639,3.223999962210655,0.0032239999622106553
1,bf16,63,0.0625,original,2,4.126719951629639,3.223999962210655,0.0032239999622106553
1,bf16,63,0.0625,original,3,4.126719951629639,3.223999962210655,0.0032239999622106553
1,bf16,63,0.0625,original,4,4.126719951629639,3.223999962210655,0.0032239999622106553
1,bf16,63,0.0625,contiguous256,0,3.910655975341797,3.055199980735779,0.003055199980735779
1,bf16,63,0.0625,contiguous256,1,3.911679983139038,3.0559999868273735,0.0030559999868273735
1,bf16,63,0.0625,contiguous256,2,3.9086079597473145,3.0535999685525894,0.0030535999685525894
1,bf16,63,0.0625,contiguous256,3,3.9096319675445557,3.054399974644184,0.003054399974644184
1,bf16,63,0.0625,contiguous256,4,3.9086079597473145,3.0535999685525894,0.0030535999685525894
1,bf16,258,0.0625,original,0,4.267007827758789,3.333599865436554,0.003333599865436554
1,bf16,258,0.0625,original,1,4.267007827758789,3.333599865436554,0.003333599865436554
1,bf16,258,0.0625,original,2,4.2690558433532715,3.3351998776197433,0.0033351998776197434
1,bf16,258,0.0625,original,3,4.265984058380127,3.332800045609474,0.003332800045609474
1,bf16,258,0.0625,original,4,4.267007827758789,3.333599865436554,0.003333599865436554
1,bf16,258,0.0625,contiguous256,0,4.049920082092285,3.164000064134598,0.003164000064134598
1,bf16,258,0.0625,contiguous256,1,4.047872066497803,3.1624000519514084,0.0031624000519514086
1,bf16,258,0.0625,contiguous256,2,4.046847820281982,3.1615998595952988,0.0031615998595952988
1,bf16,258,0.0625,contiguous256,3,4.046847820281982,3.1615998595952988,0.0031615998595952988
1,bf16,258,0.0625,contiguous256,4,4.046847820281982,3.1615998595952988,0.0031615998595952988
1,bf16,18,1.0,original,0,4.092927932739258,3.197599947452545,0.003197599947452545
1,bf16,18,1.0,original,1,4.092927932739258,3.197599947452545,0.003197599947452545
1,bf16,18,1.0,original,2,4.092927932739258,3.197599947452545,0.003197599947452545
1,bf16,18,1.0,original,3,4.091904163360596,3.1968001276254654,0.0031968001276254654
1,bf16,18,1.0,original,4,4.093952178955078,3.198400139808655,0.003198400139808655
1,bf16,18,1.0,contiguous256,0,3.8645761013031006,3.0192000791430473,0.0030192000791430472
1,bf16,18,1.0,contiguous256,1,3.865600109100342,3.020000085234642,0.003020000085234642
1,bf16,18,1.0,contiguous256,2,3.8635520935058594,3.0184000730514526,0.0030184000730514525
1,bf16,18,1.0,contiguous256,3,3.8645761013031006,3.0192000791430473,0.0030192000791430472
1,bf16,18,1.0,contiguous256,4,3.865600109100342,3.020000085234642,0.003020000085234642
1,bf16,16,0.0625,original,0,4.087808132171631,3.1936001032590866,0.0031936001032590866
1,bf16,16,0.0625,original,1,4.085760116577148,3.192000091075897,0.003192000091075897
1,bf16,16,0.0625,original,2,4.084735870361328,3.1911998987197876,0.0031911998987197874
1,bf16,16,0.0625,original,3,4.084735870361328,3.1911998987197876,0.0031911998987197874
1,bf16,16,0.0625,original,4,4.083712100982666,3.190400078892708,0.003190400078892708
1,bf16,16,0.0625,contiguous256,0,3.8604800701141357,3.0160000547766685,0.0030160000547766685
1,bf16,16,0.0625,contiguous256,1,3.857408046722412,3.0136000365018845,0.0030136000365018844
1,bf16,16,0.0625,contiguous256,2,3.8584320545196533,3.014400042593479,0.003014400042593479
1,bf16,16,0.0625,contiguous256,3,3.8584320545196533,3.014400042593479,0.003014400042593479
1,bf16,16,0.0625,contiguous256,4,3.8584320545196533,3.014400042593479,0.003014400042593479
1,fp16,18,0.0625,original,0,4.061183929443359,3.1727999448776245,0.0031727999448776245
1,fp16,18,0.0625,original,1,4.0570878982543945,3.1695999205112457,0.0031695999205112457
1,fp16,18,0.0625,original,2,4.056064128875732,3.168800100684166,0.003168800100684166
1,fp16,18,0.0625,original,3,4.0570878982543945,3.1695999205112457,0.0031695999205112457
1,fp16,18,0.0625,original,4,4.058112144470215,3.1704001128673553,0.0031704001128673555
1,fp16,18,0.0625,contiguous256,0,3.831808090209961,2.993600070476532,0.002993600070476532
1,fp16,18,0.0625,contiguous256,1,3.8297600746154785,2.9920000582933426,0.0029920000582933427
1,fp16,18,0.0625,contiguous256,2,3.8307840824127197,2.9928000643849373,0.0029928000643849374
1,fp16,18,0.0625,contiguous256,3,3.8287360668182373,2.991200052201748,0.002991200052201748
1,fp16,18,0.0625,contiguous256,4,3.8307840824127197,2.9928000643849373,0.0029928000643849374
1,bf16,4095,1.0,original,0,9.315327644348145,7.277599722146988,0.007277599722146988
1,bf16,4095,1.0,original,1,9.31942367553711,7.280799746513367,0.007280799746513367
1,bf16,4095,1.0,original,2,9.32044792175293,7.281599938869476,0.007281599938869477
1,bf16,4095,1.0,original,3,9.325568199157715,7.285600155591965,0.007285600155591964
1,bf16,4095,1.0,original,4,9.32147216796875,7.282400131225586,0.007282400131225586
1,bf16,4095,1.0,contiguous256,0,8.659968376159668,6.765600293874741,0.006765600293874741
1,bf16,4095,1.0,contiguous256,1,8.657919883728027,6.763999909162521,0.006763999909162521
1,bf16,4095,1.0,contiguous256,2,8.657919883728027,6.763999909162521,0.006763999909162521
1,bf16,4095,1.0,contiguous256,3,8.659968376159668,6.765600293874741,0.006765600293874741
1,bf16,4095,1.0,contiguous256,4,8.656895637512207,6.763199716806412,0.006763199716806412
1,bf16,4097,0.0625,original,0,7.520256042480469,5.875200033187866,0.005875200033187866
1,bf16,4097,0.0625,original,1,7.520256042480469,5.875200033187866,0.005875200033187866
1,bf16,4097,0.0625,original,2,7.521279811859131,5.875999853014946,0.005875999853014946
1,bf16,4097,0.0625,original,3,7.523327827453613,5.877599865198135,0.005877599865198135
1,bf16,4097,0.0625,original,4,7.520256042480469,5.875200033187866,0.005875200033187866
1,bf16,4097,0.0625,contiguous256,0,6.9918718338012695,5.462399870157242,0.005462399870157242
1,bf16,4097,0.0625,contiguous256,1,6.987775802612305,5.459199845790863,0.005459199845790863
1,bf16,4097,0.0625,contiguous256,2,6.99289608001709,5.463200062513351,0.005463200062513352
1,bf16,4097,0.0625,contiguous256,3,6.9918718338012695,5.462399870157242,0.005462399870157242
1,bf16,4097,0.0625,contiguous256,4,6.998015880584717,5.46719990670681,0.00546719990670681
1,fp16,258,1.0,original,0,3.4447360038757324,2.691200003027916,0.002691200003027916
1,fp16,258,1.0,original,1,3.4447360038757324,2.691200003027916,0.002691200003027916
1,fp16,258,1.0,original,2,3.443711996078491,2.6903999969363213,0.0026903999969363213
1,fp16,258,1.0,original,3,3.443711996078491,2.6903999969363213,0.0026903999969363213
1,fp16,258,1.0,original,4,3.443711996078491,2.6903999969363213,0.0026903999969363213
1,fp16,258,1.0,contiguous256,0,3.2614400386810303,2.548000030219555,0.002548000030219555
1,fp16,258,1.0,contiguous256,1,3.2583680152893066,2.545600011944771,0.002545600011944771
1,fp16,258,1.0,contiguous256,2,3.259392023086548,2.5464000180363655,0.0025464000180363657
1,fp16,258,1.0,contiguous256,3,3.2583680152893066,2.545600011944771,0.002545600011944771
1,fp16,258,1.0,contiguous256,4,3.2583680152893066,2.545600011944771,0.002545600011944771
1,fp16,63,1.0,original,0,3.340287923812866,2.6095999404788017,0.002609599940478802
1,fp16,63,1.0,original,1,3.3361918926239014,2.606399916112423,0.002606399916112423
1,fp16,63,1.0,original,2,3.338239908218384,2.6079999282956123,0.0026079999282956124
1,fp16,63,1.0,original,3,3.3361918926239014,2.606399916112423,0.002606399916112423
1,fp16,63,1.0,original,4,3.3361918926239014,2.606399916112423,0.002606399916112423
1,fp16,63,1.0,contiguous256,0,3.1539199352264404,2.4639999493956566,0.0024639999493956564
1,fp16,63,1.0,contiguous256,1,3.152895927429199,2.463199943304062,0.0024631999433040617
1,fp16,63,1.0,contiguous256,2,3.152895927429199,2.463199943304062,0.0024631999433040617
