mode,dim,rows,dtype,round,original128_ms,auto_ms,reduction_percent
hadamard_int4,1,1,fp16,1,0.009210639999999999,0.010119118,-9.863353686605937
hadamard_int4,1,1,bf16,1,0.009143784,0.00994174,-8.726759074798785
hadamard_int4,4,17,fp16,1,0.009246874,0.010118992,-9.431490036524771
hadamard_int4,4,17,bf16,1,0.008969574000000001,0.009847562,-9.788513924964537
hadamard,16,4096,fp16,1,0.007240264,0.007916008,-9.3331403385291
hadamard,16,4096,bf16,1,0.007310011999999999,0.008001964,-9.465812094426118
hadamard_int4,16,65,fp16,1,0.009171082,0.010102096,-10.151626601964736
hadamard_int4,16,65,bf16,1,0.00916803,0.010078291999999999,-9.92865424742282
hadamard_int4,1,1,fp16,2,0.009346342,0.010267332,-9.85401561380912
hadamard_int4,1,1,bf16,2,0.009292696,0.010042,-8.06336503421614
hadamard_int4,4,17,fp16,2,0.009384672,0.010260134,-9.32863716494301
hadamard_int4,4,17,bf16,2,0.009295674,0.01008702,-8.513056718641376
hadamard,16,4096,fp16,2,0.007390287999999999,0.007917546000000001,-7.134471620050564
hadamard,16,4096,bf16,2,0.007324921999999999,0.007993128,-9.12236335076335
hadamard_int4,16,65,fp16,2,0.009310984,0.010163142,-9.152179834054074
hadamard_int4,16,65,bf16,2,0.009405964,0.010188461999999999,-8.319168561563695
hadamard_int4,1,1,fp16,3,0.009065894,0.010008964,-10.402393851064229
hadamard_int4,1,1,bf16,3,0.009010258,0.009881408,-9.66842458895183
hadamard_int4,4,17,fp16,3,0.009106188,0.009998406000000001,-9.797930813640154
hadamard_int4,4,17,bf16,3,0.009090874,0.009860343999999998,-8.464202671822285
hadamard,16,4096,fp16,3,0.007383462,0.00811387,-9.892486749440854
hadamard,16,4096,bf16,3,0.007276484000000001,0.007957318,-9.35663433053655
hadamard_int4,16,65,fp16,3,0.009159898,0.010034022,-9.542944692178889
hadamard_int4,16,65,bf16,3,0.009167606,0.010037292,-9.486511527655095
