mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard_int4,16,4096,fp16,1.0,False,1,0.003142400085926056,0.002868800051510334,0.003143199905753136,0.003142400085926056,-0.025452514167811913
hadamard_int4,2,2,fp16,1.0,True,1,0.0018543999642133713,0.0018464000895619392,0.0017240000888705254,0.0018464000895619392,6.629115833744004
hadamard,1,4096,fp16,1.0,True,1,0.0023288000375032425,0.001976799964904785,0.0014919999986886979,0.001976799964904785,24.52448274094533
hadamard,2,16384,bf16,1.0,True,1,0.0046431999653577805,0.0032928001135587694,0.0017240000888705254,0.0032928001135587694,47.64334215819518
hadamard,16,4096,fp16,1.0,True,1,0.0024000000208616256,0.0020479999482631685,0.0018247999250888824,0.0020479999482631685,10.898438906874652
hadamard,4,4097,bf16,1.0,True,1,0.002350400015711784,0.0020128000527620316,0.0016232000663876534,0.0020128000527620316,19.356119642373628
hadamard_int4,16,4096,bf16,1.0,False,1,0.0031679999083280563,0.0028968000784516334,0.0031624000519514086,0.0031679999083280563,0.17676314831723827
hadamard,32,17,fp16,1.0,False,1,0.0015783999115228653,0.0015664000064134597,0.0015783999115228653,0.0015783999115228653,0.0
hadamard_int4,4,17,fp16,1.0,True,1,0.0019495999440550804,0.0019807999953627585,0.0017160000279545784,0.0019495999440550804,11.981941054769663
hadamard_int4,2,1,bf16,1.0,True,1,0.00180479995906353,0.0017960000783205031,0.001674400083720684,0.0017960000783205031,6.770600740370303
hadamard_int4,2,16384,fp16,1.0,True,1,0.006356000155210495,0.00591839998960495,0.0019751999527215956,0.00591839998960495,66.62611590648102
hadamard,4,4096,fp16,1.0,True,1,0.0023312000557780266,0.0019864000380039213,0.001600000075995922,0.0019864000380039213,19.452273188450096
hadamard,16,16384,fp16,1.0,True,1,0.004727999866008759,0.003497600182890892,0.0025095999240875243,0.003497600182890892,28.247947367922134
hadamard,8,16384,fp16,1.0,True,1,0.004685600101947784,0.0033904001116752624,0.002019199915230274,0.0033904001116752624,40.44360993627538
hadamard,4,4097,fp16,1.0,True,1,0.0023320000618696213,0.001992800086736679,0.001589599996805191,0.001992800086736679,20.23284184976881
hadamard_int4,1,4096,fp16,1.0,True,1,0.002940800040960312,0.0027615999802947044,0.001611199975013733,0.0027615999802947044,41.65701091720773
hadamard_int4,1,1,fp16,1.0,True,1,0.0017456000670790673,0.0017351999878883362,0.0016232000663876534,0.0017351999878883362,6.454582888568472
hadamard_int4,1,2,fp16,1.0,True,1,0.0018007999286055564,0.001793600060045719,0.0016767999157309532,0.001793600060045719,6.512050646998125
hadamard,2,4097,bf16,1.0,True,1,0.0023320000618696213,0.0019936000928282736,0.0015560000203549862,0.0019936000928282736,21.950243383690594
hadamard,4,4096,bf16,1.0,True,1,0.0023344000801444054,0.0019951999187469483,0.0016184000298380852,0.0019951999187469483,18.885319980641636
hadamard_int4,4,16384,bf16,1.0,True,1,0.006314399838447571,0.006004799902439117,0.002106400020420551,0.006004799902439117,64.92139530636246
hadamard_int4,4,17,bf16,1.0,True,1,0.0019447999075055122,0.0019703999161720274,0.001716800034046173,0.0019447999075055122,11.723564598055846
hadamard_int4,8,256,bf16,1.0,True,1,0.002070399932563305,0.0020719999447464943,0.0017311999574303627,0.002070399932563305,16.383306905974838
hadamard_int4,4,4096,fp16,1.0,True,1,0.0030527999624609947,0.0028464000672101973,0.0018727999180555344,0.0028464000672101973,34.20461376354956
hadamard,32,17,bf16,1.0,False,1,0.0015383999794721603,0.0015312000177800655,0.0015367999672889709,0.0015383999794721603,0.1040049534931975
hadamard,2,4096,fp16,1.0,True,1,0.0023256000131368637,0.0019896000623703,0.0015544000081717968,0.0019896000623703,21.873745504412078
hadamard_int4,2,16384,bf16,1.0,True,1,0.006412000209093094,0.005979999899864197,0.002038400061428547,0.005979999899864197,65.91304188023753
hadamard_int4,8,4096,bf16,1.0,True,1,0.0030991999432444573,0.0028783999383449554,0.0019775999709963797,0.0028783999383449554,31.295163515967992
hadamard_int4,16,65,bf16,1.0,False,1,0.002046399936079979,0.0020183999091386794,0.0020431999117136003,0.002046399936079979,0.15637336133369484
hadamard_int4,2,4096,fp16,1.0,True,1,0.0030896000564098356,0.0029152000322937967,0.0018192000687122345,0.0029152000322937967,37.59604663283381
hadamard_int4,1,1,bf16,1.0,True,1,0.0017400000244379044,0.0017295999452471734,0.0016168000176548958,0.0017295999452471734,6.521735150503694
hadamard,8,4097,bf16,1.0,True,1,0.0023655999451875688,0.0020287999883294105,0.0017551999539136887,0.0020287999883294105,13.485806190338867
hadamard_int4,64,65,bf16,1.0,False,1,0.0019511999562382698,0.0019408000633120536,0.0019503999501466751,0.0019511999562382698,0.041000723121020766
hadamard,2,4097,fp16,1.0,True,1,0.0023288000375032425,0.0019896000623703,0.0015383999794721603,0.0019896000623703,22.677928666759538
hadamard,16,4097,fp16,1.0,True,1,0.0023976000025868415,0.0020560000091791155,0.0018263999372720718,0.0020560000091791155,11.167318622664514
hadamard_int4,2,4096,bf16,1.0,True,1,0.003108000010251999,0.002892000041902065,0.00187120009213686,0.002892000041902065,35.29736981240935
hadamard,1,16384,bf16,1.0,True,1,0.004614400118589402,0.003221600130200386,0.0015688000246882438,0.003221600130200386,51.303701226549705
hadamard_int4,8,16384,fp16,1.0,True,1,0.0062696002423763275,0.006063200160861015,0.0023863999173045158,0.006063200160861015,60.6412479550134
