Generating SQLite file /data/infinitensor-2026/profile-dispatch-20260908/production/runs/nsys/fallback.sqlite from /data/infinitensor-2026/profile-dispatch-20260908/production/runs/nsys/fallback.nsys-rep
Processing [/data/infinitensor-2026/profile-dispatch-20260908/production/runs/nsys/fallback.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.0,16608,16,1038.0,1024.0,1024,1216,48.1,"hadamard::butterfly_stage(const float *, float *, unsigned long, int)"
22.7,12160,11,1105.5,1088.0,1056,1248,64.6,"void hadamard::warp_kernel<__half, (int)16, (bool)1, (bool)0>(const T1 *, T1 *, unsigned char *, float *, unsigned long, float)"
11.2,6016,4,1504.0,1504.0,1472,1536,26.1,"void hadamard::tensor_core_kernel<__half, (int)16>(const T1 *, const T1 *, T1 *, unsigned long, float)"
9.9,5312,4,1328.0,1312.0,1280,1408,55.4,"void hadamard::warp_kernel<__half, (int)16, (bool)1, (bool)1>(const T1 *, T1 *, unsigned char *, float *, unsigned long, float)"
9.6,5120,4,1280.0,1280.0,1248,1312,37.0,"void hadamard::warp_kernel<__half, (int)16, (bool)0, (bool)1>(const T1 *, T1 *, unsigned char *, float *, unsigned long, float)"
8.0,4288,4,1072.0,1008.0,992,1280,139.5,"void hadamard::to_float_kernel<__half>(const T1 *, float *, unsigned long)"
7.6,4096,4,1024.0,1024.0,1024,1024,0.0,"void hadamard::from_float_kernel<__half>(const float *, T1 *, unsigned long, float)"

Processing [/data/infinitensor-2026/profile-dispatch-20260908/production/runs/nsys/fallback.sqlite] with [/usr/local/cuda-12.8/NsightSystems-cli-2024.6.2/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.9,2213377,47,47093.1,3176.0,2769,2009065,292422.2,cudaLaunchKernel
11.8,359543,2,179771.5,179771.5,167332,192211,17592.1,cudaGetDeviceProperties_v2_v12000
4.5,136791,15,9119.4,9277.0,3517,21932,4682.2,cudaMemcpy
4.2,127368,7,18195.4,2289.0,1941,109622,40352.9,cudaFree
3.9,118834,7,16976.3,2980.0,1546,102638,37781.9,cudaMalloc
1.3,38089,10,3808.9,2970.0,2780,10866,2488.6,cudaEventRecord
0.6,19068,6,3178.0,3314.0,1537,4021,861.3,cudaDeviceSynchronize
0.4,11721,5,2344.2,2363.0,2261,2439,74.0,cudaEventSynchronize
0.2,6803,10,680.3,493.0,394,2354,590.0,cudaEventCreate
0.1,3813,10,381.3,320.5,256,864,175.9,cudaEventDestroy
0.0,1131,1,1131.0,1131.0,1131,1131,0.0,cuModuleGetLoadingMode

