mode,dim,rows,dtype,round,original128_ms,auto_ms,reduction_percent
hadamard_int4,1,1,fp16,1,0.007224954,0.00792731,-9.721252204512322
hadamard_int4,1,1,bf16,1,0.007226262,0.007886608,-9.13814085345923
hadamard_int4,4,17,fp16,1,0.007291471999999999,0.008067340000000001,-10.640759506448095
hadamard_int4,4,17,bf16,1,0.00724417,0.007878866,-8.761473018993193
hadamard,16,4096,fp16,1,0.005929037999999999,0.0065754279999999995,-10.902105872824563
hadamard,16,4096,bf16,1,0.0059135640000000005,0.006532648,-10.468881371707472
hadamard_int4,16,65,fp16,1,0.00726733,0.007908398,-8.821231456394596
hadamard_int4,16,65,bf16,1,0.00728817,0.007939266,-8.933600615792447
hadamard_int4,1,1,fp16,2,0.007332138,0.008097924,-10.444238774556602
hadamard_int4,1,1,bf16,2,0.007259402,0.008008966000000001,-10.325423499070595
hadamard_int4,4,17,fp16,2,0.007295846,0.008051396,-10.35589292866106
hadamard_int4,4,17,bf16,2,0.007343544,0.008118472,-10.552507072879248
hadamard,16,4096,fp16,2,0.005851823999999999,0.006583126,-12.496992390748595
hadamard,16,4096,bf16,2,0.005795296,0.006578782,-13.519343964484287
hadamard_int4,16,65,fp16,2,0.007264228,0.008039904,-10.678023872598708
hadamard_int4,16,65,bf16,2,0.007315972,0.008057972,-10.14219299909842
hadamard_int4,1,1,fp16,3,0.00726283,0.008095576,-11.465861103729535
hadamard_int4,1,1,bf16,3,0.007176466,0.007851906,-9.411874869887216
hadamard_int4,4,17,fp16,3,0.007195895999999999,0.007978708,-10.878589685009343
hadamard_int4,4,17,bf16,3,0.007214366,0.007931912000000001,-9.946071491244023
hadamard,16,4096,fp16,3,0.005991534,0.006690555999999999,-11.666828561767307
hadamard,16,4096,bf16,3,0.005897706,0.0066342960000000005,-12.48943233182529
hadamard_int4,16,65,fp16,3,0.007287738,0.008012236,-9.941328845795505
hadamard_int4,16,65,bf16,3,0.00728308,0.008027654,-10.22333957611341
