mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard_int4,16,4096,fp16,1.0,False,1,0.001982400007545948,0.001799199916422367,0.001981600001454353,0.001982400007545948,0.04035543223110949
hadamard_int4,2,2,fp16,1.0,True,1,0.0010904000140726567,0.001087199989706278,0.001017600018531084,0.001087199989706278,6.4017634137392925
hadamard,1,4096,fp16,1.0,True,1,0.0014928000047802926,0.0012703499756753444,0.0008736000396311283,0.0012703499756753444,31.23154592365742
hadamard,2,16384,bf16,1.0,True,1,0.0029271749779582025,0.0021191999316215516,0.0010135999880731105,0.0021191999316215516,52.1706294461074
hadamard,16,4096,fp16,1.0,True,1,0.001541600003838539,0.0013230999931693078,0.0011342749930918217,0.0013230999931693078,14.2714081363708
hadamard,4,4097,bf16,1.0,True,1,0.0015048000030219554,0.0012911999598145484,0.0009511999785900116,0.0012911999598145484,26.33209354137296
hadamard_int4,16,4096,bf16,1.0,False,1,0.0017944000661373138,0.0016511999070644378,0.0017903249710798264,0.0017944000661373138,0.22710069701790125
hadamard,32,17,fp16,1.0,False,1,0.0009064000099897384,0.0009096000343561172,0.0009063749574124813,0.0009064000099897384,0.0027639648037314224
hadamard_int4,4,257,fp16,1.0,True,1,0.0011839999817311764,0.0011376000009477138,0.0010343999601900578,0.0011376000009477138,9.071733533024084
hadamard_int4,2,1,bf16,1.0,True,1,0.001099149975925684,0.0010951999574899673,0.0010295250453054906,0.0010951999574899673,5.996613836161369
hadamard_int4,2,16384,fp16,1.0,True,1,0.00321119986474514,0.003070399910211563,0.0011575750075280666,0.003070399910211563,62.29888479092924
hadamard,4,4096,fp16,1.0,True,1,0.0015048000030219554,0.0012959999963641166,0.0009336000308394432,0.0012959999963641166,27.96296038127887
hadamard,16,16384,fp16,1.0,True,1,0.0029567999765276907,0.0022087499499320986,0.0016071999445557595,0.0022087499499320986,27.23486220768593
hadamard,8,16384,fp16,1.0,True,1,0.0029367249459028243,0.002160000056028366,0.001307199988514185,0.002160000056028366,39.481483583025515
hadamard,4,4097,fp16,1.0,True,1,0.0015015999786555767,0.0012872000224888325,0.0009424000047147274,0.0012872000224888325,26.786825027195526
hadamard_int4,1,4096,fp16,1.0,True,1,0.0017271999269723893,0.0015279999934136868,0.0009312000125646591,0.0015279999934136868,39.057590538055166
hadamard_int4,1,1,fp16,1.0,True,1,0.0010520000010728835,0.001051149982959032,0.0009887999854981898,0.001051149982959032,5.931598579807251
hadamard_int4,1,2,fp16,1.0,True,1,0.0010680000297725201,0.001065600011497736,0.0010040000081062317,0.001065600011497736,5.7807810366784285
hadamard,2,4097,bf16,1.0,True,1,0.0015104000456631183,0.001297600008547306,0.0008950999937951565,0.001297600008547306,31.018804878304362
hadamard,4,4096,bf16,1.0,True,1,0.0015064000152051448,0.001285600010305643,0.0009232000447809696,0.001285600010305643,28.18916946325438
hadamard_int4,4,16384,bf16,1.0,True,1,0.0032152000814676283,0.0031112000346183778,0.0013063999824225903,0.0031112000346183778,58.009772181593775
hadamard_int4,4,257,bf16,1.0,True,1,0.0011839250102639199,0.0011327999643981456,0.0010639999993145466,0.0011327999643981456,6.073443436251546
hadamard_int4,8,64,bf16,1.0,True,1,0.0011239999905228615,0.001156724989414215,0.0009895999915897845,0.0011239999905228615,11.957295379562838
hadamard_int4,4,4096,fp16,1.0,True,1,0.0017759999260306357,0.0016016000881791115,0.0011031249538064002,0.0016016000881791115,31.12357061240154
hadamard,32,17,bf16,1.0,False,1,0.0008984000422060489,0.0009007999673485756,0.0008968000300228595,0.0008984000422060489,0.17809573775848797
hadamard,2,4096,fp16,1.0,True,1,0.001508800033479929,0.0012887749820947648,0.0008856000378727913,0.0012887749820947648,31.283579354299384
hadamard_int4,2,16384,bf16,1.0,True,1,0.003221524879336357,0.003095199912786484,0.0011656000278890133,0.003095199912786484,62.34168839712617
hadamard_int4,8,4096,bf16,1.0,True,1,0.0017847999930381774,0.0016303999349474908,0.0011512000113725663,0.0016303999349474908,29.391556838497902
hadamard_int4,16,65,bf16,1.0,False,1,0.001130400039255619,0.0011432000435888767,0.001130400039255619,0.001130400039255619,0.0
hadamard_int4,2,4096,fp16,1.0,True,1,0.0017712000757455827,0.0015744000673294067,0.0010544000193476676,0.0015744000673294067,33.02845691970751
hadamard_int4,1,1,bf16,1.0,True,1,0.001063199993222952,0.0010599000379443169,0.0009991999715566636,0.0010599000379443169,5.726961431700817
hadamard,8,4097,bf16,1.0,True,1,0.0015263999812304974,0.0013303999789059163,0.001024799980223179,0.0013303999789059163,22.970535442585792
hadamard_int4,64,65,bf16,1.0,False,1,0.0010831999592483045,0.0011119999922811984,0.0010831999592483045,0.0010831999592483045,0.0
hadamard,2,4097,fp16,1.0,True,1,0.0015072000212967395,0.0012848000042140484,0.000902399979531765,0.0012848000042140484,29.763389121111437
hadamard,16,4097,fp16,1.0,True,1,0.001539925020188093,0.001315999962389469,0.0011512000113725663,0.001315999962389469,12.522792988358045
hadamard_int4,2,4096,bf16,1.0,True,1,0.0017831750214099885,0.0015863999724388123,0.0010503999888896941,0.0015863999724388123,33.78719067456311
hadamard,1,16384,bf16,1.0,True,1,0.0029198750853538513,0.002072799950838089,0.0009064000099897384,0.002072799950838089,56.2717082454939
hadamard_int4,8,16384,fp16,1.0,True,1,0.003253600001335144,0.0031840000301599503,0.0014543999917805196,0.0031840000301599503,54.32160873103206
hadamard,8,16384,bf16,1.0,True,1,0.002938400022685528,0.002155975066125393,0.0013128000311553479,0.002155975066125393,39.10875632181386
hadamard_int4,1,2,bf16,1.0,True,1,0.0010639999993145466,0.0010607999749481678,0.0009991999715566636,0.0010607999749481678,5.80693861672783
