phase,run_index,dtype,dim,rows,normalized,shape,scale,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread32,1,1.3056000471115112,1280,1.0200000368058681,0.001020000036805868
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread32,2,1.3056000471115112,1280,1.0200000368058681,0.001020000036805868
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread32,3,1.30457603931427,1280,1.0192000307142735,0.0010192000307142734
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread32,4,1.305567979812622,1280,1.019974984228611,0.001019974984228611
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread32,5,1.3056000471115112,1280,1.0200000368058681,0.001020000036805868
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread64,1,1.3066240549087524,1280,1.0208000428974628,0.0010208000428974628
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread64,2,1.307647943496704,1280,1.0215999558568,0.0010215999558568002
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread64,3,1.307647943496704,1280,1.0215999558568,0.0010215999558568002
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread64,4,1.3075840473175049,1280,1.0215500369668007,0.0010215500369668007
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread64,5,1.3056000471115112,1280,1.0200000368058681,0.001020000036805868
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread128,1,1.2953599691390991,1280,1.0119999758899212,0.0010119999758899211
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread128,2,1.294335961341858,1280,1.0111999697983265,0.0010111999697983264
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread128,3,1.2953599691390991,1280,1.0119999758899212,0.0010119999758899211
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread128,4,1.294335961341858,1280,1.0111999697983265,0.0010111999697983264
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread128,5,1.294335961341858,1280,1.0111999697983265,0.0010111999697983264
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread256,1,1.2933119535446167,1280,1.0103999637067318,0.0010103999637067318
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread256,2,1.2902400493621826,1280,1.0080000385642052,0.0010080000385642052
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread256,3,1.2892160415649414,1280,1.0072000324726105,0.0010072000324726105
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread256,4,1.2902400493621826,1280,1.0080000385642052,0.0010080000385642052
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,thread256,5,1.2902400493621826,1280,1.0080000385642052,0.0010080000385642052
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,dao,1,1.3167359828948975,1280,1.0286999866366386,0.0010286999866366386
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,dao,2,1.3148159980773926,1280,1.027199998497963,0.001027199998497963
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,dao,3,1.3148159980773926,1280,1.027199998497963,0.001027199998497963
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,dao,4,1.315775990486145,1280,1.0279499925673008,0.0010279499925673007
screen,1,fp16,64,1,False,"[1, 64]",1.0,graph,dao,5,1.316864013671875,1280,1.0288000106811523,0.0010288000106811524
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread32,1,1.1509759426116943,200,5.754879713058472,0.005754879713058472
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread32,2,1.1518720388412476,200,5.759360194206238,0.005759360194206238
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread32,3,1.1550719738006592,200,5.775359869003296,0.005775359869003296
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread32,4,1.1438080072402954,200,5.719040036201477,0.0057190400362014775
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread32,5,1.149791955947876,200,5.74895977973938,0.0057489597797393795
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread64,1,1.1509759426116943,200,5.754879713058472,0.005754879713058472
screen,1,fp16,64,1,False,"[1, 64]",1.0,eager,thread64,2,1.164255976676941,200,5.821279883384705,0.005821279883384704
