round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,1,old_wmma,1,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20892800390720367,0.0020892800390720366,cuda_event_batched_launches,true
1,2,four_warp_wmma,1,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
1,3,warp128,1,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
1,1,old_wmma,2,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20582400262355804,0.0020582400262355804,cuda_event_batched_launches,true
1,2,four_warp_wmma,2,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,2,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19670400023460388,0.0019670400023460389,cuda_event_batched_launches,true
1,1,old_wmma,3,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
1,2,four_warp_wmma,3,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20995199680328369,0.0020995199680328368,cuda_event_batched_launches,true
1,3,warp128,3,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19660800695419312,0.0019660800695419311,cuda_event_batched_launches,true
1,1,old_wmma,4,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20492799580097198,0.0020492799580097199,cuda_event_batched_launches,true
1,2,four_warp_wmma,4,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,4,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
1,1,old_wmma,5,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20665599405765533,0.0020665599405765532,cuda_event_batched_launches,true
1,2,four_warp_wmma,5,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,5,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19555200636386871,0.0019555200636386873,cuda_event_batched_launches,true
1,1,old_wmma,6,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,2,four_warp_wmma,6,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,6,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19660800695419312,0.0019660800695419311,cuda_event_batched_launches,true
1,1,old_wmma,7,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20688000321388245,0.0020688000321388246,cuda_event_batched_launches,true
1,2,four_warp_wmma,7,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,7,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
1,1,old_wmma,8,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20582400262355804,0.0020582400262355804,cuda_event_batched_launches,true
1,2,four_warp_wmma,8,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
1,3,warp128,8,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19660800695419312,0.0019660800695419311,cuda_event_batched_launches,true
1,1,old_wmma,9,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
1,2,four_warp_wmma,9,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20985600352287292,0.0020985600352287294,cuda_event_batched_launches,true
1,3,warp128,9,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19472000002861023,0.0019472000002861024,cuda_event_batched_launches,true
1,1,old_wmma,10,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,2,four_warp_wmma,10,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,10,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19663999974727631,0.001966399997472763,cuda_event_batched_launches,true
1,1,old_wmma,11,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,2,four_warp_wmma,11,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,11,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19654400646686554,0.0019654400646686556,cuda_event_batched_launches,true
1,1,old_wmma,12,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20582400262355804,0.0020582400262355804,cuda_event_batched_launches,true
1,2,four_warp_wmma,12,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,12,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
1,1,old_wmma,13,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,2,four_warp_wmma,13,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,13,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19865599274635315,0.0019865599274635315,cuda_event_batched_launches,true
1,1,old_wmma,14,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20777599513530731,0.0020777599513530729,cuda_event_batched_launches,true
1,2,four_warp_wmma,14,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,14,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.1955839991569519,0.0019558399915695192,cuda_event_batched_launches,true
1,1,old_wmma,15,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20697599649429321,0.002069759964942932,cuda_event_batched_launches,true
1,2,four_warp_wmma,15,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,15,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19644799828529358,0.0019644799828529356,cuda_event_batched_launches,true
1,1,old_wmma,16,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20588800311088562,0.0020588800311088563,cuda_event_batched_launches,true
1,2,four_warp_wmma,16,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,16,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19548800587654114,0.0019548800587654114,cuda_event_batched_launches,true
1,1,old_wmma,17,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,2,four_warp_wmma,17,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,17,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19660800695419312,0.0019660800695419311,cuda_event_batched_launches,true
1,1,old_wmma,18,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20684799551963806,0.0020684799551963806,cuda_event_batched_launches,true
1,2,four_warp_wmma,18,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.20889599621295929,0.0020889599621295931,cuda_event_batched_launches,true
1,3,warp128,18,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19545599818229675,0.0019545599818229674,cuda_event_batched_launches,true
1,1,old_wmma,19,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.20787200331687927,0.0020787200331687928,cuda_event_batched_launches,true
1,2,four_warp_wmma,19,4096,16,bf16,unit,1065353216,128,256,1,4608,32,100,0.21094399690628052,0.0021094399690628051,cuda_event_batched_launches,true
1,3,warp128,19,4096,16,bf16,unit,1065353216,128,1024,1,0,32,100,0.19456000626087189,0.0019456000626087188,cuda_event_batched_launches,true
1,1,old_wmma,20,4096,16,bf16,unit,1065353216,128,256,1,1536,32,100,0.2099200040102005,0.0020992000401020049,cuda_event_batched_launches,true
