round,position,method,sample,rows,n,dtype,scale_kind,scale_float_bits,threads,grid_x,grid_y,shared_bytes,input_offset_bytes,iterations,event_elapsed_ms,kernel_ms,timer,validation_passed
1,1,old_wmma,1,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28672000765800476,0.0028672000765800477,cuda_event_batched_launches,true
1,2,four_warp_wmma,1,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
1,3,warp128,1,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19660800695419312,0.0019660800695419311,cuda_event_batched_launches,true
1,1,old_wmma,2,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
1,2,four_warp_wmma,2,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31215998530387878,0.0031215998530387877,cuda_event_batched_launches,true
1,3,warp128,2,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19763199985027313,0.0019763199985027313,cuda_event_batched_launches,true
1,1,old_wmma,3,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28668799996376038,0.0028668799996376037,cuda_event_batched_launches,true
1,2,four_warp_wmma,3,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
1,3,warp128,3,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.21196800470352173,0.0021196800470352174,cuda_event_batched_launches,true
1,1,old_wmma,4,17,64,fp16,unit,1065353216,128,2,4,3072,32,100,0.28569599986076355,0.0028569599986076354,cuda_event_batched_launches,true
1,2,four_warp_wmma,4,17,64,fp16,unit,1065353216,128,2,1,6144,32,100,0.31231999397277832,0.0031231999397277831,cuda_event_batched_launches,true
1,3,warp128,4,17,64,fp16,unit,1065353216,128,5,1,0,32,100,0.19865599274635315,0.0019865599274635315,cuda_event_batched_launches,true
